CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41722875,MOJITO CUBAN CUISINE,BROOKLYN,82,WASHINGTON AVENUE,11205,7187973100,Spanish,03/11/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,17,,,05/21/2016,Cycle Inspection / Initial Inspection
41721259,GO GO CURRY CHELSEA,MANHATTAN,144,WEST   19 STREET,10011,2122554555,Japanese,12/11/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,12/11/2015,05/21/2016,Cycle Inspection / Re-inspection
41704249,FAMOUS FAMIGLIA PIZZERIA,MANHATTAN,1398,MADISON AVENUE,10029,2129969797,Pizza,03/05/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,03/05/2013,05/21/2016,Pre-permit (Operational) / Re-inspection
41603176,TU RANCHITO RESTAURANT,STATEN ISLAND,635,BAY STREET,10304,9173978360,Mexican,11/18/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23,B,11/18/2015,05/21/2016,Cycle Inspection / Re-inspection
41675034,ARLINGTON CLUB,MANHATTAN,1032,LEXINGTON AVENUE,10021,2122495700,Steak,06/18/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,12,A,06/18/2015,05/21/2016,Cycle Inspection / Initial Inspection
40400039,CAFE GITANE,MANHATTAN,242,MOTT STREET,10012,2123349552,Moroccan,09/11/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15,,,05/21/2016,Cycle Inspection / Initial Inspection
41350310,MAMMA'S FAMOUS PIZZA & BURGERS,MANHATTAN,2345,BROADWAY,10024,2123628612,Pizza,04/23/2015,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,18,,,05/21/2016,Cycle Inspection / Initial Inspection
41274876,MCDONALD'S,QUEENS,21607,LINDEN BOULEVARD,11411,7185287764,Hamburgers,06/13/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,A,06/13/2013,05/21/2016,Cycle Inspection / Re-inspection
50015665,EPI D'OR KREYOL,QUEENS,223-18,LINDEN BOULEVARD,11411,7187230001,Bakery,02/03/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18,,,05/21/2016,Cycle Inspection / Initial Inspection
41541377,BOMBAY CURRY,BROOKLYN,525,NOSTRAND AVENUE,11216,7184842475,Indian,04/30/2014,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,10,A,04/30/2014,05/21/2016,Cycle Inspection / Re-inspection
41142715,CAFE ZAIYA,MANHATTAN,69,COOPER SQUARE,10003,2122539700,CafÃ©/Coffee/Tea,09/15/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,20,,,05/21/2016,Cycle Inspection / Initial Inspection
41138984,HOTEL PIERRE-BANQUET KITCHEN,MANHATTAN,2,EAST   61 STREET,10065,2128388000,American,03/26/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,03/26/2014,05/21/2016,Cycle Inspection / Initial Inspection
41230437,THE CROOKED KNIFE,MANHATTAN,27-39,EAST 30 STREET,10016,2126962593,American,02/22/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,11,A,02/22/2016,05/21/2016,Cycle Inspection / Re-inspection
40391639,MCDONALD'S,BRONX,85,BRUCKNER BOULEVARD,10454,7185858368,Hamburgers,02/13/2015,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,7,A,02/13/2015,05/21/2016,Cycle Inspection / Initial Inspection
41585435,TERRACE FISH & CHIPS,MANHATTAN,77,PEARL STREET,10004,2128094604,Seafood,02/25/2013,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,,05/21/2016,Trans Fat / Re-inspection
41710768,NEW GOLDEN FRIED DUMPLING,BROOKLYN,192,DUFFIELD STREET,11201,7185222836,Chinese,03/24/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,19,,,05/21/2016,Cycle Inspection / Initial Inspection
40369895,P & K'S GRILL,BRONX,170,WEST  231 STREET,10463,3476027880,American,05/26/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,,,05/21/2016,Cycle Inspection / Initial Inspection
41128245,EL VALLE RESTAURANT,BRONX,2448,JEROME AVENUE,10468,7185616600,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",06/20/2014,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,36,C,06/20/2014,05/21/2016,Cycle Inspection / Re-inspection
41546891,WAH KING KITCHEN,QUEENS,7915,ATLANTIC AVENUE,11421,7182969002,Chinese,03/27/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23,,,05/21/2016,Cycle Inspection / Initial Inspection
41289885,LA PRECIOSA CHINA RESTAURANT,MANHATTAN,163,EAST  116 STREET,10029,2123693921,Chinese,05/31/2013,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,60,,,05/21/2016,Cycle Inspection / Initial Inspection
50002100,KENNEDY FRIED CHICKEN,BRONX,667,E 187 STREET,10458,9178012727,Chicken,01/06/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11,,,05/21/2016,Cycle Inspection / Initial Inspection
41015947,MORRIS YACHT & BEACH CLUB,BRONX,25,CITY ISLAND AVENUE,10464,7188851596,American,12/19/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,19,B,12/19/2013,05/21/2016,Cycle Inspection / Re-inspection
50001174,POPEYES LOUISIANA KITCHEN,QUEENS,85-15,ROCKAWAY BEACH BLVD,11693,7189452815,American,10/02/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,,,05/21/2016,Cycle Inspection / Initial Inspection
50000415,KATCH BREWERY & GRILL,QUEENS,3119,NEWTOWN AVE,11102,7187772230,American,02/09/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,6,A,02/09/2016,05/21/2016,Cycle Inspection / Initial Inspection
41452652,CRAVE,QUEENS,2855,36 STREET,11103,7187264976,Greek,02/11/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,02/11/2015,05/21/2016,Cycle Inspection / Re-inspection
50005429,AL-ARAF HALAL FRIED CHICKEN AND FROZEN DELIGHTS,QUEENS,7603,37TH AVE,11372,7187797375,American,05/06/2014,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,17,,,05/21/2016,Cycle Inspection / Initial Inspection
41703920,LOLITA'S KITCHEN,MANHATTAN,1364,LEXINGTON AVENUE,10128,2127225055,Mexican,10/30/2013,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,90,,,05/21/2016,Cycle Inspection / Initial Inspection
50004444,KUNG FU LITTLE STEAMED BUNS RAMEN,MANHATTAN,811,8TH AVE,10019,9173882555,Chinese,05/16/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,05/16/2016,05/21/2016,Cycle Inspection / Initial Inspection
40545071,CITY MARKET CAFE,MANHATTAN,178,5 AVENUE,10010,2122068922,American,11/14/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,42,,,05/21/2016,Cycle Inspection / Initial Inspection
41701178,CRAB SPOT RESTAURANT,BROOKLYN,833,UNION STREET,11215,7186222722,Seafood,04/30/2014,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7,A,04/30/2014,05/21/2016,Cycle Inspection / Initial Inspection
50016608,NEW SOUL CAFE,BRONX,1039,CASTLE HILL AVE,10472,7184095501,Soul Food,12/08/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,,,05/21/2016,Pre-permit (Operational) / Initial Inspection
41060762,PRIMO COFFEE CART,MANHATTAN,0,PENN STATION,10001,9735804185,CafÃ©/Coffee/Tea,03/31/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,7,A,03/31/2015,05/21/2016,Cycle Inspection / Initial Inspection
41609500,J EAST,MANHATTAN,175,3 AVENUE,10003,2125298818,Chinese,12/11/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,15,B,12/11/2014,05/21/2016,Cycle Inspection / Re-inspection
40756020,LA GROTTA RISTORANTE,QUEENS,25412,NORTHERN BOULEVARD,11362,7182248899,Italian,01/24/2013,Violations were cited in the following area(s).,16B,"The original nutritional fact labels and/or ingredient label for a cooking oil, shortening or margarine or food item sold in bulk, or acceptable manufacturers documentation not maintained on site.",Not Critical,,,,05/21/2016,Trans Fat / Initial Inspection
41583686,OLD BAKU,BROOKLYN,115,DITMAS AVENUE,11218,7185766399,Eastern European,05/24/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,19,,,05/21/2016,Cycle Inspection / Initial Inspection
40726044,CUCINA DI PESCE,MANHATTAN,87,EAST    4 STREET,10003,2122606800,Italian,12/10/2014,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,,05/21/2016,Smoke-Free Air Act / Initial Inspection
50002231,THE MUG CAFE,BROOKLYN,5811,4TH AVENUE,11220,7184922220,American,09/29/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23,B,09/29/2015,05/21/2016,Cycle Inspection / Re-inspection
41365846,JING STAR RESTAURANT,MANHATTAN,27,DIVISION STREET,10002,2122198498,Chinese,10/10/2013,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,26,,,05/21/2016,Cycle Inspection / Initial Inspection
41685579,DREAMER'S PIZZA,MANHATTAN,1850,3 AVENUE,10029,2129875414,Pizza,06/03/2013,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,05/21/2016,Trans Fat / Compliance Inspection
41454471,ASIAN JEWELS SEAFOOD RESTAURANT,QUEENS,133-30,39 AVENUE,11354,7183598600,Chinese,08/25/2015,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,05/21/2016,Administrative Miscellaneous / Initial Inspection
41705937,EAGLE TRADING CO,BROOKLYN,258,FRANKLIN STREET,11222,7185763217,American,05/11/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,10,,,05/21/2016,Cycle Inspection / Initial Inspection
40635781,CARAVAN OF DREAMS,MANHATTAN,405,EAST    6 STREET,10009,2122541613,Vegetarian,09/21/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,23,,,05/21/2016,Cycle Inspection / Initial Inspection
50035325,NY EMMY'S,BROOKLYN,718,MANHATTAN AVE,11222,7183833055,"Juice, Smoothies, Fruit Salads",10/30/2015,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,05/21/2016,Administrative Miscellaneous / Initial Inspection
50008074,WANGS,BROOKLYN,671,UNION ST,11215,7183636390,Chicken,08/20/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,11,A,08/20/2014,05/21/2016,Cycle Inspection / Re-inspection
41330156,STADIUM DELI,QUEENS,12701,34 AVENUE,11368,7185071602,Delicatessen,05/31/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,31,,,05/21/2016,Cycle Inspection / Initial Inspection
41680076,AA CHINESE RESTURANT,BROOKLYN,5210,7 AVENUE,11220,7186336939,Chinese,03/02/2015,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,22,,,05/21/2016,Cycle Inspection / Initial Inspection
41194089,FLATBUSH FARMS,BROOKLYN,7678,ST MARKS AVENUE,11217,7186223276,American,03/03/2015,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,12,A,03/03/2015,05/21/2016,Cycle Inspection / Initial Inspection
41317244,FIFTY PACES,MANHATTAN,413,EAST 12 STREET,10009,6466021300,American,06/18/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,,,05/21/2016,Cycle Inspection / Initial Inspection
41480427,YEMEN CAFE & RESTAURANT,BROOKLYN,176,ATLANTIC AVENUE,11201,7188349533,Middle Eastern,01/28/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,21,,,05/21/2016,Cycle Inspection / Initial Inspection
41138049,XPRESSIONS,BRONX,3601,BOSTON ROAD,10466,7186542112,Caribbean,08/13/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,25,,,05/21/2016,Cycle Inspection / Initial Inspection
40369017,PALM TOO,MANHATTAN,840,2 AVENUE,10017,2126975198,American,04/01/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,22,,,05/21/2016,Cycle Inspection / Initial Inspection
50044227,RGA CAFE & COFFEE BAR (MERILL LYNCH),MANHATTAN,450,W 33RD ST,10001,9178167626,American,03/17/2016,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,7,A,03/17/2016,05/21/2016,Pre-permit (Operational) / Re-inspection
41672397,GREENWOOD PARK,BROOKLYN,555,7 AVENUE,11215,7184997999,American,09/10/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,09/10/2013,05/21/2016,Cycle Inspection / Re-inspection
41148002,WHAT A BAGEL CAFE,QUEENS,25701,UNION TURNPIKE,11004,7183430303,Bagels/Pretzels,06/10/2013,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,21,,,05/21/2016,Cycle Inspection / Initial Inspection
41701903,SHINJUNG GALBI BBQ KOREAN RESTAURANT,QUEENS,16013,NORTHERN BOULEVARD,11358,7183589292,Korean,10/26/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,17,,,05/21/2016,Cycle Inspection / Initial Inspection
40396906,FLANNERY'S BAR,MANHATTAN,205,WEST   14 STREET,10011,2122292122,American,08/19/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,16,,,05/21/2016,Cycle Inspection / Initial Inspection
50010848,Pizza Italia,MANHATTAN,307,W 17TH ST,10011,2122424242,Pizza/Italian,05/19/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,25,,,05/21/2016,Cycle Inspection / Initial Inspection
41226225,SABRINA'S BROADWAY PIZZERIA,BROOKLYN,294,BROADWAY,11211,7183877743,Pizza/Italian,04/22/2013,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,15,,,05/21/2016,Cycle Inspection / Initial Inspection
41009192,HOT POT JAMAICAN & AMERICAN CUISINE,QUEENS,11632,SPRINGFIELD BOULEVARD,11411,7189493166,Caribbean,08/30/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,08/30/2013,05/21/2016,Cycle Inspection / Re-inspection
41604541,MUCHMORE'S,BROOKLYN,2,HAVEMEYER STREET,11211,7185763222,CafÃ©/Coffee/Tea,07/09/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,19,,,05/21/2016,Cycle Inspection / Initial Inspection
40389357,CAMPEON,MANHATTAN,9,EAST   16 STREET,10003,2126754700,Mexican,07/23/2013,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,21,,,05/21/2016,Cycle Inspection / Initial Inspection
41705925,CROWN FRIED CHICKEN,BROOKLYN,923,LIVONIA AVE,11207,7183457286,Chicken,12/24/2013,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,12,A,12/24/2013,05/21/2016,Cycle Inspection / Initial Inspection
40932764,CAFE METRO,MANHATTAN,370,LEXINGTON AVENUE,10017,2128671090,American,05/14/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,11,A,05/14/2014,05/21/2016,Cycle Inspection / Re-inspection
50009820,NEW CHINA RESTAURANT,BRONX,240,E 174TH ST,10457,7185837666,Chinese,12/04/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,12/04/2015,05/21/2016,Cycle Inspection / Re-inspection
41650270,WING HUA 508,BROOKLYN,508,COURT STREET,11231,7188558797,Chinese,02/09/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,10,A,02/09/2015,05/21/2016,Cycle Inspection / Re-inspection
41599815,MIKA JAPANESE CUISINE & BAR,MANHATTAN,150,CENTRE STREET,10013,2129663838,Chinese/Japanese,03/15/2014,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,,,,05/21/2016,Smoke-Free Air Act / Initial Inspection
41226135,LAS MAGARITAS,QUEENS,3801,BROADWAY,11103,7187771707,Mexican,03/30/2015,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,9,A,03/30/2015,05/21/2016,Cycle Inspection / Re-inspection
50008960,KAILASH PARBAT,MANHATTAN,99,LEXINGTON AVE,10016,3479723788,Indian,07/22/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,16,B,07/22/2014,05/21/2016,Pre-permit (Operational) / Re-inspection
41429207,DAE SUNG KOREAN RESTAURANT,QUEENS,4514,162 STREET,11358,7184600088,Korean,10/28/2015,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,10/28/2015,05/21/2016,Cycle Inspection / Initial Inspection
41010148,NEW LANE PIZZERIA,QUEENS,7519,JAMAICA AVENUE,11421,7182965263,Pizza/Italian,12/09/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,23,,,05/21/2016,Cycle Inspection / Initial Inspection
41390129,SARABETH,MANHATTAN,424,5 AVENUE,10018,2123913001,American,04/13/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,04/13/2016,05/21/2016,Cycle Inspection / Initial Inspection
40757539,CAFE LUKA,MANHATTAN,1319,1 AVENUE,10021,2125852205,American,05/22/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,05/22/2015,05/21/2016,Cycle Inspection / Re-inspection
41594755,AMPLE HILLS CREAMERY,BROOKLYN,623,VANDERBILT AVENUE,11238,3472403926,"Ice Cream, Gelato, Yogurt, Ices",04/24/2013,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,9,A,04/24/2013,05/21/2016,Cycle Inspection / Initial Inspection
50002421,JEBON,MANHATTAN,15,ST MARKS PLACE,10003,2123881313,Asian,12/03/2014,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,53,,,05/21/2016,Cycle Inspection / Initial Inspection
41638595,KENNEDY FRIED CHICKEN,BRONX,2371,GRAND CONCOURSE,10468,7185844950,American,12/29/2015,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,13,A,12/29/2015,05/21/2016,Cycle Inspection / Initial Inspection
50000059,BOARDWALK PIZZERIA RESTAURANT,QUEENS,6820,ROCKAWAY BEACH BOULEVARD,11692,3476198002,Pizza,12/23/2013,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,Not Critical,,,,05/21/2016,Administrative Miscellaneous / Second Compliance Inspection
