Name,Program Identifier,Inspection Date,Description,Address,City,Zip Code,Phone,Longitude,Latitude,Inspection Business Name,Inspection Type,Inspection Score,Inspection Result,Inspection Closed Business,Violation Type,Violation Description,Violation Points,Business_ID,Inspection_Serial_Num,Violation_Record_ID,Location
10 MERCER RESTAURANT,10 MERCER RESTAURANT,02/28/2014,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,17,Unsatisfactory,false,blue,"4800 - Physical facilities properly installed,...",2,PR0049572,DA7MPSAAU,IVQKHEH0O,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,02/28/2014,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,17,Unsatisfactory,false,blue,"4100 - Warewashing facilities properly installed,...",5,PR0049572,DA7MPSAAU,IVP9ZR2QX,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,02/28/2014,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,17,Unsatisfactory,false,red,2110 - Proper cold holding temperatures (greater than  45 degrees F),10,PR0049572,DA7MPSAAU,IVPN0ZYFV,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,12/08/2013,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Consultation/Education - Field,0,Complete,false,,,0,PR0049572,DAT2B6O4J,,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,10/25/2013,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Return Inspection,0,Satisfactory,false,,,0,PR0049572,DA2473108,,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,10/12/2013,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,25,Unsatisfactory,false,red,0600 - Adequate handwashing facilities,10,PR0049572,DA2469945,IV6807674,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,10/12/2013,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,25,Unsatisfactory,false,red,2110 - Proper cold holding temperatures (greater than  45 degrees F),10,PR0049572,DA2469945,IV6807682,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,10/12/2013,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,25,Unsatisfactory,false,red,0200 - Food Worker Cards current for all food workers; new food workers trained,5,PR0049572,DA2469945,IV6807710,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,11/17/2012,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,10,Unsatisfactory,false,red,0600 - Adequate handwashing facilities,10,PR0049572,DA2390733,IV6187898,
AEROJET,AEROJET,03/09/2007,Seating 51-150 - Risk Category III,11411 139TH PL NE ,Redmond,98052,,-122.1566898848,47.7002083825,AEROJET,Routine Inspection/Field Review,0,Satisfactory,false,,,0,PR0011697,DA1659384,,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,06/25/2012,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,10,Unsatisfactory,false,red,2110 - Proper cold holding temperatures (greater than  45 degrees F),10,PR0049572,DA2345711,IV5506095,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,10/08/2011,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,5,Unsatisfactory,false,blue,"4100 - Warewashing facilities properly installed,...",5,PR0049572,DA2271020,IV4203085,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,02/17/2011,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,5,Unsatisfactory,false,red,0200 - Food Worker Cards current for all food...,5,PR0049572,DA2195807,IV3097477,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,02/16/2011,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,0,Not Accessible,false,,,0,PR0049572,DA2195049,,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,05/12/2010,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,30,Unsatisfactory,false,blue,"4200 - Food-contact surfaces maintained, clean, sanitized",5,PR0049572,DA2105416,IV1957809,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,05/12/2010,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,30,Unsatisfactory,false,blue,3300 - Potential food contamination prevented during ...,5,PR0049572,DA2105416,IV1957767,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,05/12/2010,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,30,Unsatisfactory,false,red,2110 - Proper cold holding temperatures (greater than  45 degrees F),10,PR0049572,DA2105416,IV1957754,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,05/12/2010,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,30,Unsatisfactory,false,red,"2500 - Toxic substances properly identified,...",10,PR0049572,DA2105416,IV1957771,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,07/01/2009,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,23,Unsatisfactory,false,blue,"4200 - Food-contact surfaces maintained, clean, sanitized",5,PR0049572,DA2002008,IV0921948,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,07/01/2009,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,23,Satisfactory,false,blue,"4100 - Warewashing facilities properly installed,...",5,PR0049572,DA2003249,IV1074814,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,07/01/2009,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,23,Satisfactory,false,blue,"4200 - Food-contact surfaces maintained, clean, sanitized",5,PR0049572,DA2003249,IV0933616,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,07/01/2009,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,23,Satisfactory,false,blue,4300 - Non-food contact surfaces maintained and clean,3,PR0049572,DA2003249,IV0933617,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,07/01/2009,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,23,Unsatisfactory,false,blue,"4100 - Warewashing facilities properly installed,...",5,PR0049572,DA2002008,IV0921962,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,07/01/2009,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,23,Unsatisfactory,false,blue,4300 - Non-food contact surfaces maintained and clean,3,PR0049572,DA2002008,IV0921944,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,07/01/2009,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,23,Satisfactory,false,red,2110 - Proper cold holding temperatures (greater than  45 degrees F),10,PR0049572,DA2003249,IV0933615,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,07/01/2009,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,23,Unsatisfactory,false,red,2110 - Proper cold holding temperatures (greater than  45 degrees F),10,PR0049572,DA2002008,IV0922000,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,02/05/2009,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Consultation/Education - Field,0,Complete,false,,,0,PR0049572,DA1946797,,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,12/04/2008,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Consultation/Education - Field,0,Complete,false,,,0,PR0049572,DA1938458,,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,11/17/2008,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,0,Satisfactory,false,,,0,PR0049572,DA1920692,,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,03/20/2008,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Consultation/Education - Field,0,Complete,false,,,0,PR0049572,DA1826877,,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,07/05/2007,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Consultation/Education - Field,0,Complete,false,,,0,PR0049572,DA1709374,,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,03/02/2007,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,0,Satisfactory,false,,,0,PR0049572,DA1656657,,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,11/13/2006,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Consultation/Education - Field,0,Complete,false,,,0,PR0049572,DA1608286,,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,08/17/2006,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,15,Unsatisfactory,false,blue,Employee cleanliness and hygiene,3,PR0049572,DA1569962,IV0559938,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,08/17/2006,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,15,Unsatisfactory,false,blue,Posting of permit; mobile establishment name...,2,PR0049572,DA1569962,IV0559939,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,08/17/2006,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,15,Unsatisfactory,false,red,Proper cold holding temperatures (greater than  45 degrees F),10,PR0049572,DA1569962,IV0559937,
10 MERCER RESTAURANT,10 MERCER RESTAURANT,04/06/2006,Seating 13-50 - Risk Category III,10 MERCER ST,Seattle,98109,,-122.3561914741,47.6250635431,10 MERCER RESTAURANT,Routine Inspection/Field Review,5,Unsatisfactory,false,red,Raw meats below and away from RTE food,5,PR0049572,DA1513413,IV0545546,
1000 SPIRITS,1000 SPIRITS,05/03/2016,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.33822298,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,32,Unsatisfactory,false,blue,"4800 - Physical facilities properly installed,...",2,PR0082813,DAEHYT8TR,IVNVWFZWM,
1000 SPIRITS,1000 SPIRITS,05/03/2016,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.33822298,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,32,Unsatisfactory,false,blue,"3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,PR0082813,DAEHYT8TR,IVCT0GMZJ,
1000 SPIRITS,1000 SPIRITS,05/03/2016,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.33822298,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,32,Unsatisfactory,false,red,0500 - Proper barriers used to prevent bare hand contact with ready to eat foods.,25,PR0082813,DAEHYT8TR,IVQMRXQ1Y,
1000 SPIRITS,1000 SPIRITS,04/07/2015,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.33822298,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,25,Unsatisfactory,false,red,1900 - No room temperature storage; proper use of time...,25,PR0082813,DAX00B8DM,IVW7SDSB0,
1000 SPIRITS,1000 SPIRITS,01/14/2015,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.33822298,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,70,Unsatisfactory,false,blue,"3200 - Insects, rodents, animals not present; entrance controlled.",5,PR0082813,DA1PEZKID,IVXYJZ6FV,
1000 SPIRITS,1000 SPIRITS,01/14/2015,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.33822298,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,70,Unsatisfactory,false,red,0500 - Proper barriers used to prevent bare hand contact with ready to eat foods.,25,PR0082813,DA1PEZKID,IVVHGJEQH,
1000 SPIRITS,1000 SPIRITS,01/14/2015,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.33822298,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,70,Unsatisfactory,false,red,0600 - Adequate handwashing facilities,10,PR0082813,DA1PEZKID,IVGLR9KOQ,
1000 SPIRITS,1000 SPIRITS,01/14/2015,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.33822298,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,70,Unsatisfactory,false,red,0400 - Hands washed as required,25,PR0082813,DA1PEZKID,IVKXLANLV,
1000 SPIRITS,1000 SPIRITS,01/14/2015,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.33822298,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,70,Unsatisfactory,false,red,2300 - Proper Consumer Advisory posted for raw ...,5,PR0082813,DA1PEZKID,IV2ILDEKM,
1000 SPIRITS,1000 SPIRITS,02/11/2014,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.33822298,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,0,Satisfactory,false,,,0,PR0082813,DAEP0JDOR,,
1000 SPIRITS,1000 SPIRITS,10/17/2013,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.33822298,47.60653938,1000 SPIRITS,Consultation/Education - Field,0,Complete,false,,,0,PR0082813,DA2472199,,
1000 SPIRITS,1000 SPIRITS,03/05/2013,Seating 51-150 - Risk Category III,1225 1ST AVE,SEATTLE,98101,(206) 612-2660,-122.33822298,47.60653938,1000 SPIRITS,Routine Inspection/Field Review,0,Satisfactory,false,,,0,PR0082813,DA2421588,,
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,02/25/2016,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,5,Satisfactory,false,blue,"4100 - Warewashing facilities properly installed,...",5,PR0071992,DAO4F1HGE,IVSSORTEW,
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,08/28/2015,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Consultation/Education - Field,0,Complete,false,,,0,PR0071992,DAIQ0PJIG,,
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,02/19/2015,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,15,Unsatisfactory,false,blue,"4100 - Warewashing facilities properly installed,...",5,PR0071992,DABZCT0D9,IVA17E1NK,
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,02/19/2015,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,15,Unsatisfactory,false,red,2110 - Proper cold holding temperatures (greater than  45 degrees F),10,PR0071992,DABZCT0D9,IVY00410J,
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,09/30/2014,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,10,Satisfactory,false,blue,2900 - Adequate equipment for temperature control,5,PR0071992,DAVE0XA8E,IV8HW0E1O,
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,09/30/2014,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,10,Satisfactory,false,blue,"4100 - Warewashing facilities properly installed,...",5,PR0071992,DAVE0XA8E,IVZBLK7ON,
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,05/22/2014,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,30,Unsatisfactory,false,blue,2900 - Adequate equipment for temperature control,5,PR0071992,DAGUPCZB9,IVXJWKNDL,
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,05/22/2014,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,30,Unsatisfactory,false,blue,"4100 - Warewashing facilities properly installed,...",5,PR0071992,DAGUPCZB9,IVP9YBT6A,
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,05/22/2014,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,30,Unsatisfactory,false,blue,"3300 - Potential food contamination prevented during delivery,  preparation, storage, display",5,PR0071992,DAGUPCZB9,IVJXVCHUW,
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,05/22/2014,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,30,Unsatisfactory,false,red,0200 - Food Worker Cards current for all food workers; new food workers trained,5,PR0071992,DAGUPCZB9,IVG3FPIHL,
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,05/22/2014,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,30,Unsatisfactory,false,red,2110 - Proper cold holding temperatures (greater than  45 degrees F),10,PR0071992,DAGUPCZB9,IVVP1WBBH,
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,02/05/2014,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Consultation/Education - Field,0,Complete,false,,,0,PR0071992,DAAQXJ8TR,,
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,05/23/2013,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Consultation/Education - Field,0,Complete,false,,,0,PR0071992,DADUFCAWJ,,
108 AUTHENTIC VIETNAMESE CUISINE,108 AUTHENTIC VIETNAMESE CUISINE,02/28/2013,Seating 51-150 - Risk Category III,18114 E VALLEY HWY,KENT,98032,,-122.219347,47.439923,108 AUTHENTIC VIETNAMESE CUISINE,Routine Inspection/Field Review,0,Satisfactory,false,,,0,PR0071992,DA2417932,,
112TH DELI,112TH DELI,02/10/2016,Seating 13-50 - Risk Category III,1120 112TH AVE NE #125,BELLEVUE,98004,(206) 498-2652,-122.189657556,47.6206458226,112TH DELI,Routine Inspection/Field Review,10,Unsatisfactory,false,red,2110 - Proper cold holding temperatures (greater than  45 degrees F),10,PR0066560,DAZGFQ3B2,IVVAGIZUY,
112TH DELI,112TH DELI,01/27/2015,Seating 13-50 - Risk Category III,1120 112TH AVE NE #125,BELLEVUE,98004,(206) 498-2652,-122.189657556,47.6206458226,112TH DELI,Routine Inspection/Field Review,5,Unsatisfactory,false,red,2120 - Proper cold holding temperatures ( 42 degrees F to 45 degrees F),5,PR0066560,DAFA3LOEJ,IVH5K0WOB,
112TH DELI,112TH DELI,01/23/2015,Seating 13-50 - Risk Category III,1120 112TH AVE NE #125,BELLEVUE,98004,(206) 498-2652,-122.189657556,47.6206458226,112TH DELI,Routine Inspection/Field Review,0,Incomplete,false,,,0,PR0066560,DALMZZW0F,,
11TH AVENUE INN,11TH AVENUE INN,09/24/2015,Bed and Breakfast - Risk Category I,121 11TH AVE E ,SEATTLE,98102,,-122.3185139052,47.6194541314,11TH AVENUE INN,Routine Inspection/Field Review,5,Unsatisfactory,false,red,1400 - Raw meats below and away from ready to eat food; species separated,5,PR0071293,DA04MIOKO,IV5D0MPW9,
11TH AVENUE INN,11TH AVENUE INN,10/02/2014,Bed and Breakfast - Risk Category I,121 11TH AVE E ,SEATTLE,98102,,-122.3185139052,47.6194541314,11TH AVENUE INN,Routine Inspection/Field Review,0,Satisfactory,false,,,0,PR0071293,DAQYMJPLB,,
11TH AVENUE INN,11TH AVENUE INN,03/14/2013,Bed and Breakfast - Risk Category I,121 11TH AVE E ,SEATTLE,98102,,-122.3185139052,47.6194541314,11TH AVENUE INN,Routine Inspection/Field Review,0,Satisfactory,false,,,0,PR0071293,DAVESYRCK,,
11TH AVENUE INN,11TH AVENUE INN,07/13/2012,Bed and Breakfast - Risk Category I,121 11TH AVE E ,SEATTLE,98102,,-122.3185139052,47.6194541314,11TH AVENUE INN,Routine Inspection/Field Review,25,Unsatisfactory,false,red,0600 - Adequate handwashing facilities,10,PR0071293,DA2351989,IV5590203,
11TH AVENUE INN,11TH AVENUE INN,07/13/2012,Bed and Breakfast - Risk Category I,121 11TH AVE E ,SEATTLE,98102,,-122.3185139052,47.6194541314,11TH AVENUE INN,Routine Inspection/Field Review,25,Unsatisfactory,false,red,0500 - Proper methods used to prevent bare hand...,15,PR0071293,DA2351989,IV5590246,
