BusinessName,DBAName,LegalOwner,NameLast,NameFirst,LICENSENO,ISSDTTM,EXPDTTM,LICSTATUS,LICENSECAT,DESCRIPT,RESULT,RESULTDTTM,Violation,ViolLevel,ViolDesc,VIOLDTTM,ViolStatus,StatusDate,Comments,Address,City,State,Zip,Property_ID,Location
UNION OYSTER HOUSE,,MILANO JOSEPH A JR TRST,MILANO,JOSEPH A.,19089,12/14/2011 02:11:17 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,12/28/2012 10:46:14 AM,14-4-202.11,*,Food Contact Surfaces Design,12/28/2012 10:46:14 AM,Pass,2012-12-31 07:48:37,Oyster bar- Repair lobster scale and basket.,41  Union St,Boston,MA,02108,139293,"(42.36127, -71.05688)"
Peggy O'Neil's Pub & Grille,,LIMERICK CO INC,LIMERICK CO INC,,19097,12/13/2011 03:15:33 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,11/21/2008 01:43:40 PM,21-3-304.14,*,Wiping Cloths  Clean  Sanitize,11/24/2008 08:07:44 AM,Fail,,,1310   DORCHESTER  AV,DORCHESTER,MA,02122,,
Double Tree Club Hotel,,BOSTON REDEVELOPMENT AUTH,C.J. WASHINGTON STREET L.L.C.,,21472,03/09/2012 11:17:16 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Filed,05/21/2012 02:50:43 PM,15-4-202.16,*,Non-Food Contact Surfaces,05/21/2012 02:50:43 PM,Fail,,Provide an alternative remedy for the ventillation issue in the kitchen discussed above.  The wooden board should be replaced with rubber bumpers or another cleanable material.  An alternative solution could be to cut ventillation holes within the shelving in front of the unit.,821    Washington ST,BOSTON,MA,02116,,
CANTON HOUSE,,,LI TING LI PRESIDENT,,23526,02/01/2012 03:06:08 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,07/29/2015 02:19:23 PM,35-6-501.111/.115,**,Insects  Rodents  Animals,07/29/2015 02:19:23 PM,Fail,,Evidence of flies at ware washing area  provide pest control report.,6  Hancock St,Dorchester,MA,02125,158300,"(42.315595, -71.065919)"
CANTON HOUSE,,,LI TING LI PRESIDENT,,23526,02/01/2012 03:06:08 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,04/22/2015 02:26:28 PM,02-3-602.11-.12/3-302.12,*,Food Container Labels,04/22/2015 02:26:28 PM,Pass,2015-04-22 15:48:46,Label all bulk food containers with ingredient name.,6  Hancock St,Dorchester,MA,02125,158300,"(42.315595, -71.065919)"
Peggy O'Neil's Pub & Grille,,LIMERICK CO INC,LIMERICK CO INC,,19097,12/13/2011 03:15:33 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,05/08/2009 01:48:24 PM,23-4-602.13,*,Non-Food Contact Surfaces Clean,05/11/2009 08:04:21 AM,Fail,,Interior walls of upright cooler in basement visibly soiled. Clean to remove.,1310   DORCHESTER  AV,DORCHESTER,MA,02122,,
CANTON HOUSE,,,LI TING LI PRESIDENT,,23526,02/01/2012 03:06:08 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,11/05/2014 02:20:26 PM,21-3-304.14,*,Wiping Cloths  Clean  Sanitize,11/05/2014 02:20:26 PM,Fail,,Replace all heavily worn wiping cloths.,6  Hancock St,Dorchester,MA,02125,158300,"(42.315595, -71.065919)"
Nicholas Sub & Pizza Shop,,NICHOLAS MARKOPOULOS,Kourtelidis,Nicholas,33364,01/17/2012 03:37:47 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,10/19/2011 11:52:16 AM,32-6-301.11-02.11,*,Hand Cleaner  Drying  Tissue Signage,10/19/2011 11:52:16 AM,Fail,,KITCHEN-- provide paper towels at handsink-( roller empty at inspection ),600   Hyde Park AV,Roslindale,MA,02131,156517,"(42.280027, -71.118658)"
Finagle A Bagel,,,FINALGE A BAGEL,ATTN: Human Resources,20653,12/15/2011 10:47:55 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,12/27/2007 11:10:25 AM,29-5-201/02.11,*,Installed and Maintained,12/28/2007 08:48:13 AM,Fail,,coffee area -Clogged floor drain.,275   Cambridge ST,Boston,MA,02114,155973,"(42.361357, -71.068227)"
A K's Take Out & Delivery,,BOUKOUVALAS ATHENA TS,Saini,Jasbir,28531,12/20/2011 02:29:52 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,05/22/2012 11:58:29 AM,38-6-202.11,*,Fixture's not properly shielded,05/22/2012 11:58:29 AM,Pass,2012-05-23 08:17:14,Basement lignhts are not covered - repair or provide tough skin bulbs as discussed,1427   Tremont ST,Mission Hill,MA,02120,136818,"(42.331858, -71.096333)"
UPTOWN CAFE,,,GARY FORZIATI,,23109,12/14/2011 11:10:59 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,08/17/2012 10:33:34 AM,23-4-602.13,*,Non-Food Contact Surfaces Clean,08/17/2012 10:33:34 AM,Pass,2012-08-17 15:28:01,Clean all cooking equipment.,116   CAMBRIDGE,BOSTON,MA,02114,,
LOLLICUP TEA ZONE,,PETER LUU  PRES.,LONG JIANG,,22229,02/14/2012 12:48:34 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,12/05/2007 01:38:13 PM,35-6-501.111/.115,**,Insects  Rodents  Animals,12/06/2007 08:21:52 AM,Pass,2007-12-06 08:21:52,Cockroaches found under Sink in foil container and in dry storage room. Also rodent droppings in Store room. Provide pest reports treating the problems.,1   Brighton AV,Allston,MA,02134,157732,"(42.352411, -71.125329)"
EL PENOL RESTAURANT,,,MIGUEL A. MEDINA BALBIN,,23581,12/29/2011 09:39:51 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,05/15/2008 12:58:45 PM,21-3-304.14,*,Wiping Cloths  Clean  Sanitize,05/16/2008 07:52:22 AM,Fail,,Keep wiping cloths in sanitizer,54   Bennington ST,East Boston,MA,02128,156292,"(42.375798, -71.037101)"
ROSLINDALE HOUSE OF PIZZA,,,VASSILIOS GLYKIS,,19964,01/06/2012 10:23:12 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,07/08/2013 02:30:48 PM,15-4-202.16,*,Non-Food Contact Surfaces,07/08/2013 02:30:48 PM,Pass,2013-07-09 08:36:35,provide shelving for all storage of beverages...,4168   Washington ST,Roslindale,MA,02131,157416,"(42.287818, -71.126399)"
Uno Chicago Grill,,SPENCER AARONN D,UNO RESTAURANTS,LLC  LEGAL DEPARTMENT,18958,01/09/2012 03:53:57 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,11/06/2013 11:33:49 AM,15-4-202.16,*,Non-Food Contact Surfaces,11/06/2013 11:33:49 AM,Fail,,Resurface / Repaint rusted metal shelving in basement.,727   Boylston ST,Boston,MA,02116,18385,"(42.349589, -71.080292)"
LOLLICUP TEA ZONE,,PETER LUU  PRES.,LONG JIANG,,22229,02/14/2012 12:48:34 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,02/23/2012 10:47:03 AM,23-4-602.13,*,Non-Food Contact Surfaces Clean,02/23/2012 10:47:03 AM,Fail,,Lower shelf of ice cream cooler visibly soiled. Clean to remove.,1   Brighton AV,Allston,MA,02134,157732,"(42.352411, -71.125329)"
DAYIB CAFE,,ABDULLAH FARAH ANSHUR,ABDULLAH FARAH ANSHUR,,22700,02/13/2012 12:56:03 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,11/06/2012 01:22:07 PM,32-6-501.11-.12/6-202.14,*,Toilet Enclosed Clean,11/06/2012 01:22:07 PM,Pass,2012-11-06 15:30:56,mens restroom/provide self closing door,722   Shawmut AV,Roxbury,MA,02119,157649,"(42.332783, -71.083221)"
Tavolo,,,Trinity Ashmont Restaurant LLC,Chris Douglass,28452,02/06/2012 01:24:23 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_NotReq,12/30/2012 12:00:00 AM,,,,,,,,1917   DORCHESTER,DORCHESTER,MA,02124,,
CANTON HOUSE,,,LI TING LI PRESIDENT,,23526,02/01/2012 03:06:08 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,08/10/2009 01:52:17 PM,15-4-202.16,*,Non-Food Contact Surfaces,08/11/2009 08:02:45 AM,Fail,,Small cold holding unit registering at 47F. Discontinue use until unit can mantain a temperature of 40F and below.,6  Hancock St,Dorchester,MA,02125,158300,"(42.315595, -71.065919)"
Beth Isreal Deaconess,,BETH ISRAEL DEACONESS,SODEXO OPERATIONS L L C,,26033,02/13/2012 10:14:16 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,12/08/2014 12:31:17 PM,15-4-202.16,*,Non-Food Contact Surfaces,12/08/2014 12:31:17 PM,Fail,,Grab and go refrigeration unit at 46F- Repair to maintain temperature of 41F or below.,330   Brookline AV,Boston,MA,02115,22096,"(42.33982, -71.10568)"
COPLEY PLAZA HOTEL,,DALEY,DALEY,JAMES,18878,02/21/2012 10:53:44 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,08/05/2014 10:48:40 AM,29-5-201/02.11,*,Installed and Maintained,08/05/2014 10:48:40 AM,Fail,,mens locker/repair faucet to handsinks,138   ST JAMES  AV,BOSTON,MA,02116,,
PHO 2000,,SCHIAVO BRUNO A TS,Dung Ngu,,76202,04/06/2012 12:14:16 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,06/03/2014 02:34:22 PM,24-4-904.11AB,*,Improper Storage of Re-usable Utensils,06/03/2014 02:34:22 PM,Pass,2014-06-04 08:14:01,"Dish rack stored on floor elevate 6"" to 8"" or higher.",198   Adams ST,Dorchester,MA,02122,606,"(42.30224, -71.06)"
BUKHARA INDIAN BISTRO,,BRUCE THERESA,AMRIK SINGH PABLA,,21016,01/12/2012 03:33:18 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,11/06/2012 01:49:06 PM,20-4-703.11,***,Food Contact Surfaces Clean,11/06/2012 01:49:06 PM,Pass,2012-11-06 15:08:25,CLEAN & SANITIZE  all the white food bins of built-up grime-,701   Centre ST,Jamaica Plain,MA,02130,28172,"(42.31159, -71.11461)"
The Corner Tavern,,BACON DOUGLAS F TS,DOUGLAS BACON PRES.,,19829,12/15/2011 11:23:57 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,01/28/2008 01:33:35 PM,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,01/28/2008 03:33:02 PM,Fail,,Replace the missing  damaged and removed FRP in the kitchen area. Seal all penetrations within the kitchen area to prevent rodent access.Replace the missing ceiling tiles in the kitchen area. All ceiling tiles should be non absorbent.,421   Marlborough ST,Boston,MA,02115,91385,"(42.35014, -71.08944)"
Uno Chicago Grill,,NICOLE E. ADAMS,NICOLE E. ADAMS,,19118,01/09/2012 03:55:20 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,02/24/2012 12:25:35 PM,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,02/24/2012 12:25:35 PM,Pass,2012-02-28 08:18:23,clean to remove all soil and debris and maintain clean,270   HUNTINGTON  AV,BOSTON,MA,02125,,
Daily Catch,,RICCIO GERALDO TS,CALAMARI FISHERIES INC.,,18578,02/15/2012 01:09:29 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,04/29/2015 12:23:58 PM,23-4-602.13,*,Non-Food Contact Surfaces Clean,04/29/2015 12:23:58 PM,Fail,,Clean inside / outside of all refrigeration units - exterior of all cooking equipment - exterior of all bulk food containers from old food soils,319   Hanover ST,Boston,MA,02113,69107,"(42.36408, -71.05395)"
Langham Hotel,,CHRISTINE GILPIN  CONTROL LER,CHRISTINE GILPIN CONTROL,LER,23003,01/11/2012 08:50:36 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,09/09/2015 11:42:46 AM,20-4-703.11,***,Food Contact Surfaces Clean,09/09/2015 11:42:46 AM,Pass,2015-09-10 09:05:40,Final rinse 101F / Repair (Need 180F),250   Franklin ST,Boston,MA,02110,157806,"(42.35663, -71.054279)"
West Napoli Pizza,,VRATTOS SOCRATES TS,BARDHI,SOKOL,21409,06/06/2012 03:38:02 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,05/16/2013 03:31:25 PM,42-6-501.113/.114,*,Premises Maintained,05/16/2013 03:31:25 PM,Pass,2013-05-17 08:07:56,Remove all unnecessary articles from basement.,1946  Centre St,West Roxbury,MA,02132,27764,"(42.28358, -71.15676)"
Country Kitchen,,AMINPOUR AMIR,Arleen Campbell,,32027,01/05/2012 08:42:50 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,04/23/2012 10:57:17 AM,17-4-204.112/.115,*,Equipment Thermometers,04/23/2012 10:57:17 AM,Fail,,provide a thermometer for reach-in case in serving  area,830   Blue Hill AV,Dorchester,MA,02124,16567,"(42.29621, -71.08718)"
Double Tree Club Hotel,,BOSTON REDEVELOPMENT AUTH,C.J. WASHINGTON STREET L.L.C.,,21472,03/09/2012 11:17:16 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Filed,04/23/2008 12:44:39 PM,36-6-501.11-.12,*,Improper Maintenance of Floors,04/24/2008 08:19:00 AM,Pass,2008-04-24 08:19:00,Clean floor throughout.  clean floor drains.clean floor at garage storage area  storage area and kitchen throughout,821    Washington ST,BOSTON,MA,02116,,
WINDY CITY AT ADAMS VILLAGE,,BAYTURK MUZAFFER,BAYTURK MUZAFFER,,19800,02/13/2012 10:40:46 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,05/13/2015 10:56:17 AM,36-6-501.11-.12,*,Improper Maintenance of Floors,05/13/2015 10:56:17 AM,Fail,,Floor under the 4 top burner visibly soiled. Clean to remove. Floor in the back changing room used for employees with evidence of heavy rodent droppings. Clean to remove. Back room used by employees to change and store belongings with evidence of moisture and debris. Clean to remove all excess water and debris. At the time of the inspection there was no evidence of any pipes leaking.,516   Gallivan BL,Dorchester,MA,02124,156552,"(42.282928, -71.055559)"
Burger King,,,MASTORAN CORP.,,19935,12/16/2011 09:50:24 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,09/08/2009 12:21:24 PM,M-2-102.11,***,PIC Knowledge,09/09/2009 08:14:27 AM,Fail,,Manager stated incorrect final cooking temperatures. Complete illness policy not known.  Unable to state risks to  public health.,944   Bennington ST,East Boston,MA,02128,155885,"(42.386166, -71.00953)"
NEW YORK FRIED CHICKEN & PIZZA,,AYAZ A. SHAH,AYAZ A. SHAH,,23286,05/02/2012 11:48:20 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,07/24/2013 02:18:50 PM,34-5-501.111/.115,*,Outside Storage Improperly Maintained,07/24/2013 02:18:50 PM,Fail,,Trash area is overgrown with weeds  grease on sidewalk and loose trash. Clean to remove,531   Columbia RD,Dorchester,MA,02125,156840,"(42.315432, -71.06626)"
ZESTO'S PIZZA,,FOUR 60-468 CENTRE STREET,K & M Pizza Inc.,,75590,12/12/2011 12:47:41 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Filed,11/04/2013 12:31:05 PM,13-2-304/402.11,*,Clean Cloths  Hair Restraint,11/04/2013 12:31:05 PM,Pass,2013-11-06 08:29:27,replace missing hair restraints...,460   Centre ST,Jamaica Plain,MA,02130,28061,"(42.31935, -71.11154)"
ZESTO'S PIZZA,,FOUR 60-468 CENTRE STREET,K & M Pizza Inc.,,75590,12/12/2011 12:47:41 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,10/24/2013 12:58:52 PM,25-4-904.11,*,Single Service Articles Stored Dispensed,10/24/2013 12:58:52 PM,Fail,,properly store all single service articles.....,460   Centre ST,Jamaica Plain,MA,02130,28061,"(42.31935, -71.11154)"
RISTORANTE EUNO,,REGNETTA LEIZE,RISTORANTE,EUNO,20538,02/13/2012 02:19:04 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,04/25/2012 02:04:54 PM,23-4-602.13,*,Non-Food Contact Surfaces Clean,04/25/2012 02:04:54 PM,Pass,2012-04-25 15:27:25,Kitchen-clean fyolatn cabinets.,119   Salem ST,Boston,MA,02113,121721,"(42.364531, -71.055371)"
Langham Hotel,,CHRISTINE GILPIN  CONTROL LER,CHRISTINE GILPIN CONTROL,LER,23003,01/11/2012 08:50:36 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,,04-3-501.15/4-301.11,*,Inadequate Facilities/Cooling Methods,06/25/2007 03:41:00 PM,,,,250   Franklin ST,Boston,MA,02110,157806,"(42.35663, -71.054279)"
Prime Shoppe,,,Touarsi,Benemar,28544,02/08/2012 04:33:52 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Pass,09/09/2014 12:01:48 PM,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,09/09/2014 12:01:48 PM,Pass,2014-09-10 08:00:05,shelf on wall to right of convection oven with peeling paint  paint,104-112   Faneuil Hall Mkt,Boston,Ma,02109,,
No.  7 RESTAURANT,,,HUANG FAMILY INC.,REN XIANGHUANG  PRES.,25414,02/08/2012 04:32:36 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,01/25/2010 01:36:34 PM,22-4-601/602.11,**,Food Contact Surfaces Clean,01/25/2010 01:36:34 PM,Fail,,Food containers are crusted with old food. Clean containers every twenty-four hours.,225   Grove ST,West Roxbury,MA,02132,156965,"(42.261873, -71.15741)"
Daily Catch,,RICCIO GERALDO TS,CALAMARI FISHERIES INC.,,18578,02/15/2012 01:09:29 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,08/06/2012 11:58:34 AM,37-6-501.11-.12,*,Improper Maintenance of Walls/Ceilings,08/06/2012 11:58:34 AM,Fail,,"""kitchen-clean cooking vent-hood and provide updated cleaning sticker",319   Hanover ST,Boston,MA,02113,69107,"(42.36408, -71.05395)"
DAYIB CAFE,,ABDULLAH FARAH ANSHUR,ABDULLAH FARAH ANSHUR,,22700,02/13/2012 12:56:03 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_FailExt,05/08/2009 10:16:24 AM,22-4-601/602.11,**,Food Contact Surfaces Clean,05/08/2009 03:28:43 PM,Fail,,clean/sanitize all knives,722   Shawmut AV,Roxbury,MA,02119,157649,"(42.332783, -71.083221)"
FENWAY PARK H.M.S. INC.,,JACK LYONS  MANAGER,FENWAY PARK H.M.S. INC.,,18275,10/27/2008 10:04:53 AM,12/31/2008 11:59:00 PM,Inactive,FT,Eating & Drinking w/ Take Out,HE_Fail,09/03/2008 09:16:46 AM,16-4-501.11/.15,*,Dishwashng Facilities,09/04/2008 10:49:40 AM,Fail,,Stand 5 - the two compartment sink was improperly setup with soap and sanitizer  provide proper setup,4  Yawkey Wy,Boston,MA,02215,156417,"(42.346723, -71.09868)"
NEW YORK FRIED CHICKEN & PIZZA,,AYAZ A. SHAH,AYAZ A. SHAH,,23286,05/02/2012 11:48:20 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,07/12/2011 10:22:45 AM,32-6-301.11-02.11,*,Hand Cleaner  Drying  Tissue Signage,07/12/2011 10:22:45 AM,Fail,,No hand soap in restroom. Provide.,531   Columbia RD,Dorchester,MA,02125,156840,"(42.315432, -71.06626)"
Mehak Restaurant,,DE PASQUALE RONALD,Akram,Mohammad,33626,02/29/2012 12:55:00 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Fail,06/09/2011 01:06:42 PM,24-4-903.11,*,Clean Equipment & Utensils Storage,06/09/2011 01:06:42 PM,Fail,,Invert clean pots and pans to properly air dry - clean pans on the ground,329   Sumner ST,East Boston,MA,02128,132398,"(42.36711, -71.03607)"
Back Bay Social Club,,DHANDA 867 BOYLSTON ST LPS,c/o Lyons Group,,68305,02/08/2012 07:50:46 AM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,08/19/2015 10:52:10 AM,24-4-903.11,*,Clean Equipment & Utensils Storage,08/19/2015 10:52:10 AM,Pass,2015-08-19 15:41:03,Some boxes with paper equipment stored on the floor near the mop sink. Elevate 6 inches or above.,867   Boylston ST,Boston,MA,02116,18414,"(42.34874, -71.083445)"
RISTORANTE EUNO,,REGNETTA LEIZE,RISTORANTE,EUNO,20538,02/13/2012 02:19:04 PM,12/31/2016 11:59:00 PM,Active,FS,Eating & Drinking,HE_Pass,04/25/2012 02:04:54 PM,M-3-603.11,***,Consumer Advisories,04/25/2012 02:04:54 PM,Pass,2012-04-25 15:27:25,Provide consumer advisory for menus,119   Salem ST,Boston,MA,02113,121721,"(42.364531, -71.055371)"
DRAGON CHEF CHINESE REST.,,,RU BANG CHEN PRES.,,21347,02/06/2012 10:55:13 AM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,11/13/2009 05:11:05 PM,23-4-602.13,*,Non-Food Contact Surfaces Clean,11/13/2009 05:11:05 PM,Fail,,Doors of refrigerators  interior walls  and racks have food soils. Clean to remove. Clean soils from exterior 3 bay sinks.,411  Washington St,Brighton,MA,02135,156051,"(42.349266, -71.15532)"
Uno Chicago Grill,,NICOLE E. ADAMS,NICOLE E. ADAMS,,18961,01/09/2012 03:57:09 PM,12/31/2016 11:59:00 PM,Active,FT,Eating & Drinking w/ Take Out,HE_Fail,10/05/2015 02:36:15 PM,22-4-601/602.11,**,Food Contact Surfaces Clean,10/05/2015 02:36:15 PM,Fail,,Can opener at the pizza station soiled with dried up debris. Slicer at the prep area soiled with dried up debris. Clean and sanitize properly. Knifes stored soiled on the magnetic knife holder. Clean and sanitize properly.,1   Brookline AV,Boston,MA,02215,157196,"(42.34842, -71.097471)"
