ADDRESS,OPERATION NAME,DATE OF INSPECTION,VIOLATION ITEM,VIOLATION DESCRIPTION,CRITICAL VIOLATION,TOTAL # CRITICAL VIOLATIONS,TOTAL # CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY CODE,FACILITY ADDRESS,FACILITY CITY,FACILITY POSTAL ZIPCODE,NYSDOH GAZETTEER (1980),FACILITY MUNICIPALITY,PERMIT EXPIRATION DATE,FOOD SERVICE TYPE,FOOD SERVICE DESCRIPTION,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FS FACILITY STATE,LATITUDE,LONGITUDE
"424 Pearl STREET,  Syracuse",Freedom of Espresso/Inactive,04/08/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,8,Onondaga County,ONONDAGA,1409      ,424 Pearl STREET,Syracuse,13203    ,330100,SYRACUSE,01/31/2002,Food Service Establishment,Restaurant,,"Freedom of Espresso, Inc.",Dobbs,Anna,293733,Inspection,,NY,43.054399,-76.150857
"215 Walton STREET,  Syracuse",Sakana-Ya Sushi Bar/Inactive,05/19/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,9,Onondaga County,ONONDAGA,3958      ,215 Walton STREET,Syracuse,13202    ,330100,SYRACUSE,,Food Service Establishment,Restaurant,,"Akaa Sakaa, LLC",,,559573,Inspection,,NY,,
"3649 Erie Boulevard East,  Syracuse",Genji Grill/Inactive,06/17/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,13,Onondaga County,ONONDAGA,4309      ,3649 Erie Boulevard East  ,Syracuse,13214    ,335300,DEWITT,,Food Service Establishment,Restaurant,,"Jimmy & Sam Management Group, Inc.",,,670074,Re-Inspection,,NY,,
"335 EAST Brighton AVENUE,  Syracuse",Brighton Bakery/Inactive,01/09/2008,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,13,Onondaga County,ONONDAGA,1067      ,335 EAST Brighton AVENUE,Syracuse,13210    ,330100,SYRACUSE,01/31/2016,Food Service Establishment,Bakery,,,Stefanski,Mark,293461,Re-Inspection,,NY,43.019282,-76.138831
"4335 SOUTH Salina STREET,  Syracuse",Wings Over Syracuse/Inactive,02/02/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,7,Onondaga County,ONONDAGA,3584      ,4335 SOUTH Salina STREET,Syracuse,13205    ,330100,SYRACUSE,,Food Service Establishment,Restaurant,,Maher A Incorporated,,,541955,Inspection,,NY,,
"4324 EAST Genesee STREET,  Dewitt",Fortune Hawaii/Inactive,12/21/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,11,Onondaga County,ONONDAGA,3040      ,4324 EAST Genesee STREET,Dewitt,13214    ,335300,DEWITT,,Food Service Establishment,Restaurant,,,LI,Jin Xian,539464,Inspection,,NY,,
"4710 SOUTH Salina STREET,  Syracuse",QD's Home Cookin'/Inactive,03/24/2011,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,2,0,10,Onondaga County,ONONDAGA,4558      ,4710 SOUTH Salina STREET,Syracuse,13205    ,330100,SYRACUSE,,Food Service Establishment,Restaurant,,QD's Home Cookin' Inc.,,,717869,Inspection,,NY,43.001637,-76.142848
"260 WEST Genesee STREET,  Syracuse",Mimi's Bakery & Cafe/Inactive,05/14/2013,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,3,Onondaga County,ONONDAGA,65        ,260 WEST Genesee STREET,Syracuse,13202    ,330100,SYRACUSE,01/31/2002,Food Service Establishment,Restaurant,,Mimi's Bakery & Cafe,Nigolian,Gary,292594,Inspection,,NY,43.051739,-76.154402
"166B MAMARONECK  AVENUE,  WHITE PLAINS",JAMES JOYCE PUBLIC HOUSE/Inactive,01/05/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,7,Westchester County,WESTCHESTER,01-J090-A ,166B MAMARONECK  AVENUE,WHITE PLAINS,10601    ,590203,WHITE PLAINS,02/28/2010,Food Service Establishment,Food Service Establishment,,166B MAM. AVE. REST. INC,KILFEATHER,RORY,506085,Inspection,,NY,,
"632 COLUMBUS AVENUE,  THORNWOOD",PURE INDULGENCE/Dormant,02/09/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,1,Westchester County,WESTCHESTER,01-J820-C ,632 COLUMBUS AVENUE,THORNWOOD,10594    ,595700,MT. PLEASANT,08/31/2010,Food Service Establishment,Food Service Establishment,,J & R CONFECTIONERY INC,TERRELL,JOAN,533106,Inspection,,NY,,
"393 MAIN STREET,  ARMONK",BROADWAY NORTH PIZZERIA/Inactive,02/06/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,4,Westchester County,WESTCHESTER,01-B811-B ,393 MAIN STREET,ARMONK,10504    ,595900,NO. CASTLE,01/31/2015,Food Service Establishment,Food Service Establishment,BROADWAY NORTH INC,M.F.L.V. PIZZERIA INC.,M.F.L.V. PIZZERIA INC., ,455389,Inspection,,NY,41.123662,-73.714777
"1820 CENTRAL PARK AVENUE,  YONKERS",CHARLIE BROWN'S/Inactive,03/19/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,4,Westchester County,WESTCHESTER,01-7702-A ,1820 CENTRAL PARK AVENUE,YONKERS,10701    ,590707,YONKERS,03/31/2011,Food Service Establishment,Food Service Establishment,CHARLIE BROWN'S,1820 CENTRAL  PARK AVE.  REST CORP., CENTRAL PARK AVE  REST. CORP., 1820,455798,Inspection,,NY,,
"401 TARRYTOWN ROAD,  WHITE PLAINS",THE BAGEL OVEN/Inactive,04/16/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,4,Westchester County,WESTCHESTER,01-K846-B ,401 TARRYTOWN ROAD,WHITE PLAINS,10607    ,595300,GREENBURGH,04/30/2011,Food Service Establishment,Food Service Establishment,,B & N DREAM BAGELS INC.,THE BAGEL OVEN, ,661569,Inspection,,NY,,
"650 LEE BOULEVARD,  JEFFERSON VALLEY",VALLEY DELI OF JEFFERSON VALLEY/Inactive,09/03/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,9,Westchester County,WESTCHESTER,01-H984-A ,650 LEE BOULEVARD,JEFFERSON VALLEY,10535    ,596800,YORKTOWN,10/31/2012,Food Service Establishment,Delicatessen,,VALLEY DELI OF JEFFERSON VALLEY INC,QUIST,LISA,499332,Inspection,,NY,,
"367 DOWNING DRIVE,  YORKTOWN HEIGHTS",NONNA'S BRICK OVEN PIZZERIA/Inactive,10/22/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,1,8,Westchester County,WESTCHESTER,01-K994-A ,367 DOWNING DRIVE,YORKTOWN HEIGHTS,10598    ,596800,YORKTOWN,08/31/2010,Food Service Establishment,Food Service Establishment,,JAMD PIZZA CORP,JAMD PIZZA CORP, ,676692,Re-Inspection,,NY,,
"367 DOWNING DRIVE,  YORKTOWN HEIGHTS",NONNA'S BRICK OVEN PIZZERIA/Inactive,10/26/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,1,5,Westchester County,WESTCHESTER,01-K994-A ,367 DOWNING DRIVE,YORKTOWN HEIGHTS,10598    ,596800,YORKTOWN,08/31/2010,Food Service Establishment,Food Service Establishment,,JAMD PIZZA CORP,JAMD PIZZA CORP, ,676692,Re-Inspection,,NY,,
"29 MAPLE AVENUE,  ARMONK",BEASCAKES BAKERY/Inactive,11/24/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,4,Westchester County,WESTCHESTER,06-0587-C ,29 MAPLE AVENUE,ARMONK,10504    ,595900,NO. CASTLE,02/28/2011,Food Service Establishment,Bakery,,MANHATTAN SWEET SHOPPE LLC,MANHATTAN SWEET SHOPPE LLC, ,659488,Inspection,,NY,,
"291 SAW MILL RIVER ROAD,  YONKERS",MUNCHIES/Inactive,11/23/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,7,Westchester County,WESTCHESTER,01-J442-A ,291 SAW MILL RIVER ROAD,YONKERS,10701    ,590707,YONKERS,09/30/2010,Food Service Establishment,Delicatessen,,ALL IN THE FAMILY INC, ALL IN THE FAMILY INC,MUNCHIES,512768,Inspection,,NY,,
"165 MAIN STREET,  MOUNT KISCO",ANGELO'S DELI CAFE/Inactive,11/16/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,3,Westchester County,WESTCHESTER,01-K435-A ,165 MAIN STREET,MOUNT KISCO,10549    ,592000,MT. KISCO,01/31/2015,Food Service Establishment,Food Service Establishment,,QUEZADA DELGADO CORP.,QUEZADA DELGADO CORP., ,559795,Inspection,,NY,41.204226,-73.727266
"219 EAST MAIN STREET,  MOUNT KISCO",RINCON  SANTANECO/Inactive,11/20/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,5,Westchester County,WESTCHESTER,01-H666-A ,219 EAST MAIN STREET,MOUNT KISCO,10549    ,592000,MT. KISCO,12/31/2012,Food Service Establishment,Food Service Establishment,,,SORTO,RODOLFO,469328,Inspection,,NY,41.202708,-73.726316
"222 MAIN STREET,  MOUNT KISCO",MANGO CAFE/Inactive,11/30/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,2,Westchester County,WESTCHESTER,01-H769-A ,222 MAIN STREET,MOUNT KISCO,10549    ,592000,MT. KISCO,05/31/2015,Food Service Establishment,Food Service Establishment,,LOS MANGO LLC,LOS MANGO LLC, ,446663,Inspection,,NY,41.202874,-73.72654
"673 MAIN STREET,  NEW ROCHELLE",EL PUEBLITO DELI/Inactive,12/03/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,7,Westchester County,WESTCHESTER,01-K338-A ,673 MAIN STREET,NEW ROCHELLE,10801    ,590400,NEW ROCHELLE,10/31/2012,Food Service Establishment,Food Service Establishment,,,JAVIER SANCHEZ AS PTRS.,OLIVIA VALENCIA,558316,Inspection,,NY,,
"387 MAIN  STREET,  ARMONK",CAFE NORMA/Inactive,12/01/2009,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,7,Westchester County,WESTCHESTER,01-J989-A ,387 MAIN  STREET,ARMONK,10506    ,595900,NO. CASTLE,02/28/2011,Food Service Establishment,Food Service Establishment,,CAFE NORMA INC,OLARTE BECKER,NORMA,537394,Inspection,,NY,,
"191 NORTH HIGHLAND AVENUE,  OSSINING",OLYMPIC II DINER/Inactive,01/08/2010,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,6,Westchester County,WESTCHESTER,01-M195-A ,191 NORTH HIGHLAND AVENUE,OSSINING,10562    ,590500,OSSINING,01/31/2011,Food Service Establishment,Food Service Establishment,,"SKYRO DINER, INC."," SKYRO DINER, INC.", ,694420,Inspection,,NY,,
"112 SPRING STREET,  SOUTH SALEM",SOUTH SALEM MARKET/Inactive,01/27/2010,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,1,10,Westchester County,WESTCHESTER,01-K483-B ,112 SPRING STREET,SOUTH SALEM,10590    ,595500,LEWISBORO,04/30/2010,Food Service Establishment,Delicatessen,,SOUTH SALEM MARKET LLC,SAVINO,MICHELE,564471,Inspection,,NY,,
"370 PELHAM ROAD,  NEW ROCHELLE",SHORE ROAD CAFE/Inactive,10/18/2013,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,5,Westchester County,WESTCHESTER,01-B525   ,370 PELHAM ROAD,NEW ROCHELLE,10805    ,590400,NEW ROCHELLE,01/31/2015,Food Service Establishment,Food Service Establishment,SHORE ROAD CAFE,SHORE ROAD CAFE CORP.,SHORE ROAD CAFE CORP., ,455428,Re-Inspection,,NY,40.897634,-73.778014
"134 NORTH AVENUE,  NEW ROCHELLE",TANA THAI RESTAURANT/Inactive,09/24/2013,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,7,Westchester County,WESTCHESTER,01-M170-A ,134 NORTH AVENUE,NEW ROCHELLE,10801    ,590400,NEW ROCHELLE,12/31/2015,Food Service Establishment,Food Service Establishment,,THAI TANA LLC,THAI TANA LLC, ,687838,Inspection,,NY,40.907661,-73.778985
"265 MAMARONECK AVENUE,  MAMARONECK",HAIKU ASIAN BISTRO/Inactive,11/14/2013,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,7,Westchester County,WESTCHESTER,01-M028-A ,265 MAMARONECK AVENUE,MAMARONECK,10543    ,590901,RYE,08/31/2016,Food Service Establishment,Food Service Establishment,,HAIKU ASIAN BISTRO INC.,HAIKU ASIAN BISTRO INC., ,676602,Inspection,,NY,40.950668,-73.734205
"1560 CENTRAL PARK AVENUE,  YONKERS",EAST HARBOR GOURMET/Inactive,11/26/2013,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,12,Westchester County,WESTCHESTER,01-E181-A ,1560 CENTRAL PARK AVENUE,YONKERS,10710    ,590707,YONKERS,02/28/2014,Food Service Establishment,Food Service Establishment,,"EAST HARBOR GOURMET, INC.",, ,455961,Re-Inspection,,NY,40.951017,-73.845424
"304 FIFTH AVENUE,  PELHAM",FIFTH AVENUE PIZZA/Inactive,09/19/2013,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,1,3,Westchester County,WESTCHESTER,01-P050-B ,304 FIFTH AVENUE,PELHAM,10803    ,593600,PELHAM,08/31/2014,Food Service Establishment,Food Service Establishment,,A & M RESTAURANT ASSOCIATES LLC, , ,849107,Inspection,,NY,,
"645 BRONX RIVER ROAD,  YONKERS",BURKES/Inactive,10/10/2013,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,2,1,22,Westchester County,WESTCHESTER,01-M833-A ,645 BRONX RIVER ROAD,YONKERS,10704    ,590707,YONKERS,10/31/2013,Food Service Establishment,Food Service Establishment,,645 BURKES LLC,, ,752181,Inspection,,NY,40.921074,-73.847256
"94 PONDFIELD ROAD,  BRONXVILLE",LANGE'S DELI/Inactive,02/28/2014,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,4,Westchester County,WESTCHESTER,01-A382   ,94 PONDFIELD ROAD,BRONXVILLE,10708    ,592200,EASTCHESTER,10/31/2014,Food Service Establishment,Food Service Establishment,LANGE'S DELI,MANGELS ENTERPRISES LTD.,MANGELS ENTERPRISES LTD., ,459475,Inspection,,NY,40.939727,-73.833098
"134 WEST POST ROAD,  WHITE PLAINS",YOUNG'S KITCHEN/Inactive,02/21/2014,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,2,Westchester County,WESTCHESTER,01-B042-A ,134 WEST POST ROAD,WHITE PLAINS,10606    ,590203,WHITE PLAINS,12/31/2014,Food Service Establishment,Food Service Establishment,,,D. CHENG AS PARTNERS,Y. FAI,455164,Inspection,,NY,41.022347,-73.775152
"480 NEW ROCHELLE ROAD,  BRONXVILLE",ORIENTAL PALACE/Inactive,02/12/2014,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,3,0,9,Westchester County,WESTCHESTER,01-H168   ,480 NEW ROCHELLE ROAD,BRONXVILLE,10708    ,592200,EASTCHESTER,11/30/2015,Food Service Establishment,Food Service Establishment,ORIENTAL PALACE,SCY CORP.,SCY CORP., ,458171,Re-Inspection,,NY,40.928999,-73.809723
"572 A NORTH AVENUE,  NEW ROCHELLE",COSINITA RESTAURANT #2/Inactive,04/08/2014,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,3,1,7,Westchester County,WESTCHESTER,01-N235-A ,572 A NORTH AVENUE,NEW ROCHELLE,10801    ,590400,NEW ROCHELLE,09/30/2015,Food Service Establishment,Food Service Establishment,,COSINITA RESTAURANT #2 CORP.,COSINITA RESTAURANT #2 CORP., ,785857,Inspection,,NY,40.921462,-73.787988
"VICTOR-MANCHESTER  ROAD,  VICTOR",CHINA COURT/Inactive,10/11/2007,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,6,Geneva District Office,ONTARIO,34-A205   , VICTOR-MANCHESTER  ROAD,VICTOR,14564    ,346400,VICTOR,,Food Service Establishment,Restaurant,,,INC,VICTOR SUNRISE ,327293,Inspection,,NY,,
"694 CENTRAL PARK AVENUE,  SCARSDALE",PAGODA/Inactive,09/25/2014,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,2,0,12,Westchester County,WESTCHESTER,01-M016-A ,694 CENTRAL PARK AVENUE,SCARSDALE,10583    ,595300,GREENBURGH,10/31/2016,Food Service Establishment,Food Service Establishment,,FOUNTAIN YU ASIAN FOOD INC.,YU,PEI HUA,686874,Inspection,,NY,41.002253,-73.813906
"43 QUAKER RIDGE ROAD,  NEW ROCHELLE",QUAKER RIDGE PIZZA/Inactive,10/17/2014,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,10,Westchester County,WESTCHESTER,01-M165-B ,43 QUAKER RIDGE ROAD,NEW ROCHELLE,10804    ,590400,NEW ROCHELLE,12/31/2015,Food Service Establishment,Food Service Establishment,,D & M PIZZA INC.,D & M PIZZA INC., ,687343,Inspection,,NY,40.94799,-73.794688
"11-13 HUGUENOT STREET,  NEW ROCHELLE",TAILGATE SPORTS BAR & RESTAURANT/Inactive,12/08/2014,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,2,0,7,Westchester County,WESTCHESTER,01-P322-A ,11-13 HUGUENOT STREET,NEW ROCHELLE,10801    ,590400,NEW ROCHELLE,05/31/2016,Food Service Establishment,Food Service Establishment,,TAILGATE SPORTS BAR & RESTAURANT LLC,TAILGATE SPORTS BAR & RESTAURA, ,868090,Inspection,,NY,,
"1 BRADFORD ROAD,  MOUNT VERNON",ALE KITCHEN/Inactive,12/15/2014,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,13,Westchester County,WESTCHESTER,01-N166-A ,1 BRADFORD ROAD,MOUNT VERNON,10553    ,590301,MT. VERNON,07/31/2015,Food Service Establishment,Food Service Establishment,,"ALE KITCHEN, INC.","ALE KITCHEN, INC.", ,782357,Inspection,,NY,40.913127,-73.815053
"756 PALISADE AVENUE,  YONKERS",HUNAN WOODSTOCK WOK/Inactive,12/12/2014,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,12,Westchester County,WESTCHESTER,01-A368-A ,756 PALISADE AVENUE,YONKERS,10703    ,590707,YONKERS,09/30/2015,Food Service Establishment,Food Service Establishment,,,CHING CHENG,SAI,459133,Inspection,,NY,40.959344,-73.885605
"247 WOLFS LANE,  PELHAM",WOLFS LANE DELI/Inactive,01/26/2015,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,13,Westchester County,WESTCHESTER,01-3092   ,247 WOLFS LANE,PELHAM,10803    ,596200,PELHAM,03/31/2016,Food Service Establishment,Food Service Establishment,WOLFS LANE DELI,"WOLFS LANE DELICATESSEN, INC.","WOLFS LANE DELICATESSEN, INC.", ,455333,Inspection,,NY,40.905724,-73.811962
"209 Main Street,  Morristown",Cattleman's Steak & Ale/Inactive,06/15/2012,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,16,Canton District Office,ST LAWRENCE,44-AD85   , 209 Main Street  ,Morristown,13664    ,442700,MORRISTOWN,,Food Service Establishment,Restaurant,,JGH Enterprises LLC,Hagopian,John,761186,Inspection,,NY,44.58588,-75.64487
"7202 State Highway 3,  Cranberry Lake",Cranberry Lake Lodge Food Service/Inactive,02/21/2013,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,10,Canton District Office,ST LAWRENCE,44-0545   , 7202 State Highway 3  ,Cranberry Lake,12927    ,445300,CLIFTON,,Food Service Establishment,Restaurant,,,,,323091,Inspection,,NY,44.221492,-74.835599
"53 Willow Street,  Massena",Common Grounds/Inactive,07/26/2013,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,2,0,8,Canton District Office,ST LAWRENCE,44-AF83   , 53 Willow Street  ,Massena,13662    ,440200,MASSENA,10/31/2016,Food Service Establishment,Restaurant,,,Tucker,Nancy,421729,Inspection,,NY,44.937424,-74.881954
"3622 LAKEMONT-HIMROD  ROAD,  HIMROD",EAGLE HOTEL/Inactive,07/12/2006,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,4,Geneva District Office,YATES,61-A018   ,3622 LAKEMONT-HIMROD  ROAD,HIMROD,14842    ,615500,MILO,,Food Service Establishment,Food Service Establishment,,,ROBERTA BROOKS,MARTY & ,326533,Inspection,,NY,42.589225,-76.955169
"1795  RIDGE  ROAD,  ONTARIO",VITALE'S PIZZA/Inactive,07/21/2006,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,0,0,4,Geneva District Office,WAYNE,58-A380   ,1795  RIDGE  ROAD,ONTARIO,14519    ,585700,ONTARIO,,Food Service Establishment,Restaurant,,,VITALE ,MICHAEL ,533083,Inspection,,NY,43.224718,-77.294156
"240 ROUTE 31,  MACEDON",CHICAGO CAFE FAMILY RESTAURANT/Inactive/Inactive,08/03/2006,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,1,7,Geneva District Office,WAYNE,58-A067   ,240 ROUTE 31  ,MACEDON,14502    ,585500,MACEDON,,Food Service Establishment,Food Service Establishment,,,INC.,R TAG.,506416,Re-Inspection,,NY,43.064276,-77.366505
"3691 ROUTE 14A,  PENN YAN",FINGER LAKES PRODUCE AUCTION INC/Inactive,05/30/2007,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,1,0,2,Geneva District Office,YATES,61-A128   ,3691 ROUTE 14A  ,PENN YAN,14527    ,615500,MILO,,Food Service Establishment,Restaurant,,FINGER LAKES PRODUCE AUCTION,LIGHTFOOTE ,JAMES ,328998,Inspection,,NY,42.58665,-77.03678
