FACILITY,ADDRESS,DATE OF INSPECTION,VIOLATION ITEM,VIOLATION DESCRIPTION,CRITICAL VIOLATION,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY CODE,FACILITY ADDRESS,FACILITY CITY,FACILITY POSTAL ZIPCODE,NYSDOH GAZETTEER (1980),FACILITY MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,FOOD SERVICE TYPE,FOOD SERVICE DESCRIPTION,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FS FACILITY STATE,LATITUDE,LONGITUDE
Nina                                ,"27 WEST MAIN  STREET,  MIDDLETOWN",03/23/2016,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,1,0,7,Orange County,ORANGE,13569     ,27 WEST MAIN  STREET,MIDDLETOWN,10940    ,350101,MIDDLETOWN,Nina,05/31/2016,Food Service Establishment,Food Service Establishment,,Brendle Restaurant Corp.,Brendle,Franz,601336,Inspection,,NY,41.445143,-74.42136
AN AMERICAN BISTRO                  ,"296 COLUMBUS AVENUE,  TUCKAHOE",01/23/2013,11C,"Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred",Not Critical Violation,1,0,9,Westchester County,WESTCHESTER,01-H257-A ,296 COLUMBUS AVENUE,TUCKAHOE,10707    ,592300,E. CHESTER,AN AMERICAN BISTRO,10/31/2016,Food Service Establishment,Food Service Establishment,AN AMERICAN BISTRO,TWO AMERICANS INC.,TWO AMERICANS INC., ,466353,Inspection,,NY,40.958515,-73.820994
CAM'S PIZZERIA-OSWEGO               ,"31 WEST BRIDGE STREET,  OSWEGO",03/31/2009,11C,"Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred",Not Critical Violation,1,0,4,Oswego County,OSWEGO,37-F141   , 31 WEST BRIDGE STREET  ,OSWEGO,13126    ,370200,OSWEGO,CAM'S  PIZZERIA-OSWEGO,03/31/2017,Food Service Establishment,Restaurant,CAM'S NEW YORK PIZZERIA,"OSWEGO CNYP, LLC",CALASCIBETTA,ANTHONY,296263,Inspection,"3/31/2009

5C-  3/4 OF LARGER PEPPER/ONION PIZZA, 81 DEGREES, 3 DOZ PEPPERONI SAUSAGE ROLLS UPS - 88 DEGREES, 1/2 TOMATO PIZZA - 81 DEGREES, 3/4 STUFFED PIZZA WITH EVERYTHING- SAUSAGE, ONION, OLIVES, PEPPERONI, 1 FULL PIZZA SAUSAGE/MUSHROOM BOTH 61-62 DEGREES- MANAGER STATED THAT PIZZAS HAD ONLY BEEN OUT LESS THAN 2 HOURS- PRODUCT REMOVED TO COOLER.

11C-  MEAT SLICER HAS DRIED MEAT ON IT

15B-  EXHAUST GOOD HAS GREASE BUILD-UP.

8A-  SODA STORED UNDER WASTE LINES IN BASEMENT.

5C-  4 BOXES OF FRESH CHICKEN WINGS STORED ON PALLET IN BASEMENT - 36 DEGREES. - PUT INTO WALKIN COOLER DURING INSPECTION.

13B-  GARBAGE AREA OPEN GREASE BUCKET AND MUCH WASTE PAPER GOODS ON GROUND.",NY,43.456313,-76.51221
IBM BLDG #705                       ,"2455 SOUTH  ROAD,  POUGHKEEPSIE",06/18/2015,8D,"Single service items reused, improperly stored, dispensed, not used when required",Not Critical Violation,0,0,1,Dutchess County,DUTCHESS,4001075   ,2455 SOUTH  ROAD,POUGHKEEPSIE,12601    ,136300,POUGHKEEPSIE,IBM BLDG #705,12/31/2016,Food Service Establishment,Restaurant,,EUREST DINING SERVICES,ADLER,DAVID,274785,Inspection,,NY,41.659218,-73.93065
Plattsburgh High School Cafeteria   ,"One Clifford DRIVE,  Plattsburgh",05/11/2015,12E,"Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing",Not Critical Violation,0,0,2,Clinton County,CLINTON,09-1258   ,One Clifford DRIVE,Plattsburgh,12901    ,090101,PLATTSBURGH,Plattsburgh High School Cafeteria,12/31/2016,Institutional Food Service,School K-12 Food Service,,,City School District,Plattsburgh,268782,Inspection,"Comment: Menu served on day of inspection was the following: Hamburgers or corn dog's or pre-made sandwiches, salad and fruit  (banana, orange or apple) with milk.
Discussed monitoring critical control points (cooking, cooling, reheating, hot and cold holding) when preparing food requiring time/temperature control for safety with  accurate food probe thermometer with food workers. 
There is minimal sneeze guard protection on serving line where fruit is located. Bananas, oranges and apples with tongs were self served at this line. Food workers stated they instruct students to use tongs and not handle apples.",NY,44.687782,-73.470894
NESSA                               ,"325 NORTH MAIN STREET,  PORT CHESTER",04/08/2016,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,11,Westchester County,WESTCHESTER,01-K268-A ,325 NORTH MAIN STREET,PORT CHESTER,10573    ,590600,RYE,NESSA,08/31/2016,Food Service Establishment,Food Service Establishment,,TESSITORE MANAGEMENT LLC,TESSITORE MANAGEMENT LLC, ,556307,Re-Inspection,"tags for mussels from original inspection provided via e-mail after first inspection, tags maintained on site.  summons php-6366-16-mk-szs4-fse issued wtih $500 waiver. Fine must be paid 10 days prior to hearing date to waive hearing appearance.
remaining violations to be checked on next routine inspection",NY,41.005808,-73.659003
HAMPTON INN - NIAGARA FALLS         ,"501 RAINBOW BOULEVARD,  NIAGARA FALLS",08/22/2013,6B,"Enough hot holding equipment is not present, properly designed, maintained and operated to keep hot foods above 140oF.",Critical Violation,3,0,3,Niagara County,NIAGARA,31-1961   ,501 RAINBOW BOULEVARD,NIAGARA FALLS,14303    ,310200,NIAGARA FALLS,HAMPTON INN-NIAGARA FALLS/FSE,08/31/2016,Food Service Establishment,Restaurant,,REHC 1,SANTIAGO,ROBERT,286750,Inspection,"6 A - TWO HOT HOLD UNITS IN BUFFET LINE, EACH HOLDS TWO TRAYS OF APPROX 2 GALLONS EACH:  UNIT ON RIGHT (2 TRAYS) HOLDING EGGS, AND SAUSAGE AT 108F, JUST MADE, REHEATED, CORRECTED, HOT HOLD TO BE REPAIRED OR REPLACED

6 A - OVEN IN KITCHEN HAS 4 TRAYS OF EGGS, MEAT AND FRENCH TOAST ON TOP WHICH ARE AT 108F, REHEATED, CORRECTED

6 B - KITCHEN AND BUFFET LINE DO NOT HAVE ADEQUATE HOT HOLD UNITS TO SERVE CUSTOMERS

8 A - APPROX 2 GALLONS COMMERCIALLY PREPARED CUT FRUIT IN FRIG NOT COVERED

12 E - SINGLE USE PAPER TOWELS IN KITCHEN NOT MOUNTED

16 - NO CPR SIGN IN DINING ROOM ( 1 GIVEN )",NY,43.083469,-79.056193
TWO BROTHERS PIZZERIA               ,"1  HOMEWOOD  AVENUE,  NEWBURGH",08/23/2012,8E,Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures,Not Critical Violation,0,0,3,Orange County,ORANGE,635324    ,1  HOMEWOOD  AVENUE,NEWBURGH,12550    ,356300,NEWBURGH,Two Brothers Pizzeria,10/31/2016,Food Service Establishment,Food Service Establishment,,"Two Brothers Too, Inc.",Evangelista,Frank,811009,Inspection,,NY,41.518543,-74.107659
LA FAMILIA A+ BUFFET                ,"310 NORTH MAIN STREET,  SPRING VALLEY",12/09/2015,13B,"Garbage storage areas not properly constructed or maintained, creating a nuisance",Not Critical Violation,2,0,2,Rockland County,ROCKLAND,43-5809   ,310 NORTH MAIN STREET,SPRING VALLEY,10977    ,435300,RAMAPO,LA FAMILIA A+ BUFFET,01/31/2017,Food Service Establishment,Food Service Establishment,,,PIERRE,YASMINE,898335,Re-Inspection,,NY,41.129884,-74.040552
OLD MILL RUN                        ,"4237 SOUTH GRAVEL ROAD,  MEDINA",05/11/2009,5B,Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.,Critical Violation,3,0,0,Orleans County,ORLEANS,36-5813   ,4237 SOUTH GRAVEL ROAD,MEDINA,14103    ,362200,RIDGEWAY,OLD MILL RUN,10/31/2016,Food Service Establishment,Restaurant,,,ROSS,ALANA ,468354,Inspection,,NY,43.204251,-78.389667
Retreat (The)                       ,"302 Vine STREET,  Liverpool",08/06/2009,9C,Hair is improperly restrained,Not Critical Violation,4,0,17,Onondaga County,ONONDAGA,428       ,302 Vine STREET,Liverpool,13088    ,336400,SALINA,Retreat (The),01/31/2017,Food Service Establishment,Restaurant,,,Gormel,John,292914,Inspection,,NY,43.101803,-76.206753
HAVEN COFFEE & ESPRESSO BAR         ,"5462 ROUTE 9W,  NEWBURGH",04/21/2016,15B,"Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans",Not Critical Violation,0,0,2,Orange County,ORANGE,63314     ,5462 ROUTE 9W  ,NEWBURGH,12550    ,356300,NEWBURGH,Haven Coffee & Espresso Bar,10/31/2016,Food Service Establishment,Food Service Establishment,,"Haven Coffee & Espresso Bar, LLC.",Neely,Julie,816928,Inspection,,NY,41.570376,-73.992344
BURGER KING #301                    ,"10  NORTH PLANK  ROAD,  NEWBURGH",12/22/2015,15B,"Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans",Not Critical Violation,0,0,4,Orange County,ORANGE,63292     ,10  NORTH PLANK  ROAD,NEWBURGH,12550    ,356300,NEWBURGH,Burger King #301                    ,10/31/2016,Food Service Establishment,Food Service Establishment,,Carrols LLC,Flanders,Paul,602553,Inspection,,NY,41.520391,-74.022786
GRAPPA RISTORANTE                   ,"22 B  RAILROAD AVENUE,  WARWICK",12/08/2015,8D,"Single service items reused, improperly stored, dispensed, not used when required",Not Critical Violation,1,0,7,Orange County,ORANGE,294234    ,22 B  RAILROAD AVENUE,WARWICK,10990    ,352900,WARWICK,Grappa Ristorante,06/30/2016,Food Service Establishment,Food Service Establishment,,"Ristorante Grappa, Inc.",Sylaj,Driton,720809,Inspection,,NY,41.256072,-74.359133
SAMMY'S NY BAGELS                   ,"110 CENTRE AVENUE,  NEW ROCHELLE",02/02/2016,12E,"Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing",Not Critical Violation,0,0,9,Westchester County,WESTCHESTER,06-0538   ,110 CENTRE AVENUE,NEW ROCHELLE,10801    ,590400,NEW ROCHELLE,SAMMY'S NY BAGELS,05/31/2016,Food Service Establishment,Bakery,SAMMYS NY BAGELS,"ROCHELLE DISTRIBUTORS, INC.","ROCHELLE DISTRIBUTORS, INC.", ,481461,Inspection,RE-INSPECTION ON OR ABOUT 3 WEEKS,NY,40.90732,-73.78391
SALVATORE'S PIZZERIA                ,"7588 NORTH BROADWAY,  RED HOOK",12/20/2006,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,2,1,8,Dutchess County,DUTCHESS,0001122   , 7588 NORTH BROADWAY  ,RED HOOK,12571    ,136400,RED HOOK,SALVATORE'S PIZZERIA,03/31/2017,Food Service Establishment,Restaurant,,NORTH BROADWAY PIZZA & CAFE INC,LAVEGLIA,ANGELO,274051,Inspection,"Basement floor is flooded with waste which appears to be coming from clogged in-line grease trap.  approx 10 x 6 foot area affected

Eleven pre-made sicilian pizzas stacked near handwash sink found at 62 deg F (out < 2 hrs as per cook)--re-located to walk-in-ooler aster cook put each pizza into new cardboard boxes. ",NY,41.999034,-73.872954
TUTTI FRUTTI                        ,"28  WEST PARK AVENUE,  LONG BEACH",09/14/2015,5A,"Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.",Critical Violation,2,1,3,Nassau  County,NASSAU,20714-01  ,28  WEST PARK AVENUE,LONG BEACH,11561    ,290200,LONG BEACH,TUTTI FRUTTI,03/31/2017,Food Service Establishment,Ice Cream Store,,"CH&J MAGNOLIA GROUP, INC.",BERKOWITZ,PATRICIA,769664,Inspection,,NY,40.588315,-73.66512
GENERATIONS/ST. JOHN'S              ,"170 HIGHLAND AVENUE,  ROCHESTER",07/20/2015,4A,"Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.",Critical Violation,4,0,11,Monroe County,MONROE,27DCC54   ,170 HIGHLAND AVENUE,ROCHESTER,14620    ,270104,ROCHESTER,GENERATIONS/ST. JOHN'S,,Institutional Food Service,Day Care Center Food Service,,GENERATIONS CHILDCARE INC,,,908537,Inspection,,NY,,
ALL THINGS DELICIOUS                ,"61  MAIN STREET,  PINE BUSH",03/16/2016,11D,Non food contact surfaces of equipment not clean,Not Critical Violation,0,0,3,Orange County,ORANGE,534155    ,61  MAIN STREET,PINE BUSH,12566    ,355300,CRAWFORD,All Things Delicious,05/31/2016,Food Service Establishment,Food Service Establishment,,"The Clever Caterpillar, Inc.",Drossell,Doug,720779,Inspection,,NY,41.609174,-74.300589
"SACH'S TEE HOUSE III, INC.          ","34 HAZEL STREET,  BINGHAMTON",04/02/2008,11C,"Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred",Not Critical Violation,0,0,13,Broome County,BROOME,03-AE39   ,34 HAZEL STREET,BINGHAMTON,13905    ,030100,BINGHAMTON,"SACH'S TEE HOUSE III, INC.",04/30/2017,Food Service Establishment,Restaurant,,"SACH'S TEE HOUSE III, INC.",ALAPECK,ROBERT,257100,Inspection,,NY,42.111641,-75.935758
YUMMY CHINA BUFFET                  ,"398 MERRICK  AVENUE,  EAST MEADOW",02/10/2016,11B,"Wiping cloths dirty, not stored properly in sanitizing solutions",Not Critical Violation,3,0,8,Nassau  County,NASSAU,02783-09  ,398 MERRICK  AVENUE,EAST MEADOW,11554    ,295012,HEMPSTEAD,YUMMY CHINA BUFFET,04/30/2017,Food Service Establishment,Restaurant,,398 YUMMY INC.,,,838564,Inspection,,NY,,
Gilligan's Pub                      ,"3601 James STREET,  Syracuse",03/21/2016,15A,"Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces",Not Critical Violation,0,0,4,Onondaga County,ONONDAGA,2063      ,3601 James STREET,Syracuse,13206    ,330100,SYRACUSE,Gilligan's Pub,01/31/2017,Food Service Establishment,Tavern,,"Gilligan's Pub, Inc.",Joyce,Kimberley,294243,Inspection,,NY,43.06938,-76.096049
CATHERINES IN THE PARK              ,"58 ROOSEVELT DRIVE,  SARATOGA SPRINGS",08/20/2015,5A,"Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.",Critical Violation,3,0,6,Glens Falls District Office,SARATOGA,45-AC91   ,58 ROOSEVELT DRIVE,SARATOGA SPRINGS,12866    ,450100,SARATOGA SPGS.,CATHERINES IN THE PARK,03/31/2018,Food Service Establishment,Restaurant,,"CATHERINES IN THE PARK, INC.",RICHARDSON,WILLIAM ,422285,Inspection,"Violations to be corrected by 8/31/15. Please submit email correspondence to this office with corrective action list for each violation 
cited, and with any receipts for service of coolers by due date.  Any questions can be directed to this office via email or telephone.  Discussed I'll food worker policy and bare hand contact prevention with operators.",NY,43.055566,-73.799954
EVERGREEN COURT                     ,"65 LAFAYETTE STREET,  SPRING VALLEY",03/30/2015,15B,"Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans",Not Critical Violation,0,0,1,Rockland County,ROCKLAND,43-BB32   ,65 LAFAYETTE STREET,SPRING VALLEY,10977    ,432800,CLARKSTOWN,EVERGREEN COURT,11/30/2016,Food Service Establishment,Food Service Establishment,,CSLS MANAGEMENT CORP,SCHOENBERGER,PHILLIP,853159,Inspection,,NY,41.11486,-74.039612
AMERICAN WAFFLE HOUSE OF SEAFORD    ,"3927 MERRICK  ROAD,  SEAFORD",03/07/2016,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,0,0,1,Nassau  County,NASSAU,18631-01  ,3927 MERRICK  ROAD,SEAFORD,11783    ,295045,HEMPSTEAD,AMERICAN WAFFLE HOUSE OF SEAFORD,05/31/2016,Food Service Establishment,Restaurant,AMERICAN WAFFLE HOUSE OF SEAFORD,AMERICAN WAFFLE HOUSE OF SEAFORD,,,571382,Re-Inspection,,NY,40.666083,-73.487482
SUSHI PALACE                        ,"282 MERRICK ROAD,  ROCKVILLE CENTRE",04/06/2016,10B,"Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish)",Not Critical Violation,1,0,6,Nassau  County,NASSAU,18764-03  ,282 MERRICK ROAD,ROCKVILLE CENTRE,11570    ,290900,HEMPSTEAD,SUSHI PALACE,,Food Service Establishment,Restaurant,,SUSHI AYCE 282 INC,,,916600,Inspection,"FMTC Ping Xiao has passed the NYC FMTC and has submitted documentation to the Nassau County DOH. Waiting for the reciprocal certificate to be mailed to the establishment. Receipt for reciprocal certificate provided at the time of inspection.

Seats 60

Grade B",NY,,
TURNPIKE INN                        ,"1440 ROUTE 66,  GHENT",08/01/2006,15B,"Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans",Not Critical Violation,0,0,5,Columbia County,COLUMBIA,10-AA41   ,1440 ROUTE 66  ,GHENT,12075    ,105900,GHENT,TURNPIKE INN,11/30/2016,Food Service Establishment,Tavern,,,BLASKO,MADY,270916,Inspection,Bacteriological re-sample obtained during inspection.,NY,42.296043,-73.677045
TURNPIKE INN                        ,"1440 ROUTE 66,  GHENT",01/16/2007,15B,"Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans",Not Critical Violation,0,0,1,Columbia County,COLUMBIA,10-AA41   ,1440 ROUTE 66  ,GHENT,12075    ,105900,GHENT,TURNPIKE INN,11/30/2016,Food Service Establishment,Tavern,,,BLASKO,MADY,270916,Inspection,,NY,42.296043,-73.677045
EVANS MILLS FIRE DEPARTMENT         ,"8615 LERAY STREET,  EVANS MILLS",11/03/2015,12C,"Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained",Not Critical Violation,0,0,2,Watertown District Office,JEFFERSON,22-AJ77   ,8615 LERAY STREET  ,EVANS MILLS,13637    ,224200,LERAY,EVANS MILLS VOLUNTEER FIRE DEPARTMENT,12/31/2017,Institutional Food Service,"Religious, Charitable, Fraternal Organization",EVANS MILLS VOLUNTEER FIRE DEPARTMENT,EVANS MILLS VOLUNTEER FIRE DEPARTMENT,Thornton,Clay,430410,Inspection,kitchen used on occasion for dinners every Sat. night in Fall   Winter have dances 7 to 11:00.  all refrigeration temperatures tested acceptable.,NY,44.085481,-75.800658
BODETTE'S BARBECUE RESTAURANT       ,"133 MONTCALM STREET,  TICONDEROGA, NY",11/25/2015,16,"Miscellaneous, Economic Violation, Choking Poster, Training.",Not Critical Violation,1,0,7,Saranac Lake District Office,ESSEX,15-AE99   ,133 MONTCALM STREET,"TICONDEROGA, NY",12883    ,156400,TICONDEROGA,BODETTE BARBECUE RESTAURANT,05/31/2016,Food Service Establishment,Restaurant,,BODETTE'S BARBECUE LLC,BODETTE,JOSEPH,893655,Inspection,Dishwashing procedures were reviewed and test strips were on site.  Cooling procedures were reviewed for briskets and pork shoulder.  Thermometer calibration procedures were reviewed with a recommendation for purchase of a digital thermometer,NY,,
