FACILITY,ADDRESS,LAST INSPECTED,VIOLATIONS,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,DESCRIPTION, LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY ADDRESS,CITY,ZIP CODE,NYSDOH GAZETTEER (1980),MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTION COMMENTS,FOOD SERVICE FACILITY STATE,Location1
DUNKIN DONUTS                       ,"1000 CARMANS  ROAD,  MASSAPEQUA",05/05/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; ",0,0,3,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,1000 CARMANS  ROAD,MASSAPEQUA,11758    ,295209,OYSTER BAY,DUNKIN DONUTS,03/31/2017,,JSK DONUTS LLC,,,673593,Inspection,,NY,"(40.70357, -73.43154)"
HAPPY COW  ICE CREAM SHOP           ,"20 COUNTY ROUTE 33,  CENTRAL SQUARE",05/21/2015,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; ",1,0,1,Food Service Establishment - Restaurant,Oswego County,OSWEGO, 20 COUNTY ROUTE 33  ,CENTRAL SQUARE,13036    ,375600,HASTINGS,HAPPY COW ICE CREAM SHOP,09/16/2016,,RED ONION LLC,RIO,BRUCE,471449,Inspection,,NY,"(43.272462, -76.206628)"
ST. MARY'S COTTAGE                  ,"3300  DEWEY AVENUE,  ROCHESTER",05/21/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 11D-   Non food contact surfaces of equipment not clean; Item 13B-   Garbage storage areas not properly constructed or maintained, creating a nuisance; ",0,0,5,Institutional Food Service - Institution Food Service,Monroe County,MONROE,3300  DEWEY AVENUE,ROCHESTER,14616    ,270104,ROCHESTER,ST. MARY'S COTTAGE,,,,,,667034,Inspection,,NY,"(43.229295, -77.646411)"
TIFFANY'S DELICATESSEN              ,"129 FRANKLIN  AVENUE,  MALVERNE",05/14/2015,"Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,2,Food Service Establishment - Delicatessen,Nassau  County,NASSAU,129 FRANKLIN  AVENUE,MALVERNE,11565    ,293900,HEMPSTEAD,TIFFANY'S DELICATESSEN,10/31/2016,TIFFANY'S DELICATESSEN,TIFFANYS DELICATESSEN INC,,,579646,Inspection,,NY,"(40.672646, -73.674727)"
CHUCK E CHEESE'S                    ,"162 FULTON  AVENUE,  HEMPSTEAD",05/14/2015,"Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,2,Food Service Establishment - Restaurant,Nassau  County,NASSAU,162 FULTON  AVENUE,HEMPSTEAD,11550    ,290600,HEMPSTEAD,CHUCK E CHEESE'S,11/30/2016,CHUCK E CHEESE'S,CEC ENTERTAINMENT INC,LICENSING DEPT,CEC    ATTN:,571913,Inspection,,NY,"(40.706698, -73.631477)"
THURSTON-SCHRAMM-REYNOLDS VFW 8137  ,"513 ERIE STREET,  MONTEZUMA",05/22/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Cayuga County,CAYUGA,513 ERIE STREET,MONTEZUMA,13117    ,056000,MONTEZUMA,THURSTON-SCHRAMM-REYNOLDS VFW 8137,03/31/2017,,,8137,VFW,261337,Inspection,,NY,"(43.010293, -76.703421)"
Bluff Point Golf Resort             ,"75 Bluff Point DRIVE,  Plattsburgh",05/21/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Clinton County,CLINTON,75 Bluff Point DRIVE,Plattsburgh,12901    ,096100,PLATTSBURGH,Bluff Point Golf Resort Food Service,10/23/2016,,,Dame,H. Paul,369048,Inspection,"Comment: No violations observed. 
Discussed the primary critical control point involved with preparing the menu items (sandwiches, Hamburgers and hot dogs and bottled drinks) served at facility. That is using a barrier when handling ""ready to eat"" food.  Also discussed verifying proper cold holding (45 F or below) and cooking raw hamburger to 158 F or greater using  an accurate food probe thermometer.",NY,"(44.642406, -73.440815)"
STONEHOUSE CAFE                     ,"8491 COUNTY ROUTE 333,  CAMPBELL",05/26/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Hornell District Office,STEUBEN,8491 COUNTY ROUTE 333  ,CAMPBELL,14821    ,505500,CAMPBELL,STONEHOUSE CAFE,10/15/2016,,"JAMISON ASSOCIATES, LTD",JAMISON,BRYAN,816512,Inspection,,NY,"(42.232224, -77.197669)"
COMFORT INN THE POINTE              ,"1 PROSPECT POINTE,  NIAGARA FALLS",05/27/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Niagara County,NIAGARA,1 PROSPECT POINTE  ,NIAGARA FALLS,14303    ,310200,NIAGARA FALLS,COMFORT INN - THE POINTE,05/31/2016,,,,,285459,Re-Inspection,,NY,"(43.08713, -79.06171)"
BOXCAR BARNEY'S                     ,"13 WEST LAKE ROAD,  MAYVILLE",05/15/2015,"Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; ",0,0,1,Food Service Establishment - Restaurant,Chautauqua County,CHAUTAUQUA,13 WEST LAKE ROAD,MAYVILLE,14757    ,062200,CHAUTAUQUA,BOXCAR BARNEY'S FSE,03/31/2017,,,BARANIEWICZ,JULIEANNE,264295,Inspection,,NY,"(42.241997, -79.497093)"
WALNUT AVENUE CHRISTIAN CHURCH      ,"601 -  28TH  STREET,  NIAGARA FALLS",05/28/2015,"Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; ",0,0,1,"Institutional Food Service - Religious, Charitable, Fraternal Organization",Niagara County,NIAGARA,601 -  28TH  STREET,NIAGARA FALLS,14301    ,310200,NIAGARA FALLS,WALNUT AVENUE CHRISTIAN CHURCH,05/31/2016,,WALNUT AVENUE CHRISTIAN CHURCH,TRUSTEES,BOARD OF ,729985,Inspection,"12 D - TOILETS: HAND WASH SIGNS MISSING ( 4 GIVEN ), DOORS NOT SELF CLOSING",NY,"(43.093559, -79.028115)"
FISHER'S COUNTRY EATS & TREATS      ,"11074 RIDGE  ROAD,  MEDINA",06/01/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Orleans County,ORLEANS,11074 RIDGE  ROAD,MEDINA,14103    ,365700,RIDGEWAY,FISHER'S COUNTRY EATS & TREATS,12/31/2015,,,FISHER,RICHARD,795871,Inspection,"Staphanie and Steven Schepis, Kelly Fisher, and Kelly Wetherbee have food worker training. Bonnie Fisher has servsafe manager cert.",NY,"(43.268113, -78.405957)"
B & D DELI                          ,"667A OLD COUNTRY  ROAD,  PLAINVIEW",05/22/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; ",0,0,3,Food Service Establishment - Delicatessen,Nassau  County,NASSAU,667A OLD COUNTRY  ROAD,PLAINVIEW,11803    ,295214,OYSTER BAY,B & D DELI,07/31/2016,B & D DELI,BRIAN'S DELI & CATERING INC,,,570563,Inspection,,NY,"(40.772229, -73.488506)"
BAEHR'S ICE CREAM COTTAGE           ,"7080 LAKE ROAD,  APPLETON",05/29/2015,No violations found.,0,0,0,Food Service Establishment - Frozen Desserts,Niagara County,NIAGARA,7080 LAKE ROAD,APPLETON,14008    ,315400,NEWFANE,Baehr's Ice Cream Cottage,05/31/2016,,,Baehr,Philip,286936,Inspection,,NY,"(43.3468, -78.645716)"
MR. SUBB #1                         ,"463 SECOND AVENUE,  TROY",06/03/2015,"Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; ",0,0,1,Food Service Establishment - Restaurant,Rensselaer County,RENSSELAER,463 SECOND AVENUE,TROY,12182    ,410202,TROY,MR. SUBB #1,11/30/2016,,"MR. SUBB, INC.",POMPA,WILLIAM,301163,Inspection,Cloths not stored in bucket of sanitizing solution.,NY,"(42.770826, -73.679074)"
RHINA'S CAFE                        ,"201 HENRY  STREET,  HEMPSTEAD",06/01/2015,"Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 14A-   Insects, rodents present; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,4,Food Service Establishment - Restaurant,Nassau  County,NASSAU,201 HENRY  STREET,HEMPSTEAD,11550    ,290600,HEMPSTEAD,RHINA'S CAFE,11/30/2016,RHINA'S CAFE,RHINA'S CAFE INC,,,577677,Inspection,,NY,"(40.701326, -73.615406)"
DOVER UFSD CONCESSION STAND         ,"2368  ROUTE 22,  DOVER PLAINS",04/15/2015,Item  9C-   Hair is improperly restrained; ,0,0,1,Food Service Establishment - Food Service Establishment,Dutchess County,DUTCHESS,2368  ROUTE 22  ,DOVER PLAINS,12522    ,135300,DOVER,DOVER UFSD CONCESSION STAND,03/31/2017,,DOVER UNION FREE SCHOOL DISTRICT,PRILL,CHRISTOPHER,686811,Inspection,,NY,"(41.685839, -73.576863)"
Cafe at the Pond                    ,"9835 Old State ROAD,  Angelica",05/29/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Allegany County,ALLEGANY,9835 Old State ROAD,Angelica,14709    ,025100,ALLEN,Cafe at the Pond,10/05/2016,,,Moore,James,764323,Inspection,,NY,"(42.427955, -77.96994)"
DUNKIN DONUTS / GENEVA              ,"477 HAMILTON  STREET,  GENEVA",06/03/2015,Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; ,0,0,1,Food Service Establishment - Food Service Establishment,Geneva District Office,ONTARIO,477 HAMILTON  STREET,GENEVA,14456    ,345500,GENEVA,DUNKIN DONUTS / GENEVA,11/30/2016,,HAMILTON DONUTS LLC ,FRANCISCO ,DAVID ,817906,Inspection,,NY,"(42.856834, -77.003998)"
James Geddes Apartments             ,"312 Gifford  STREET,  Syracuse",05/26/2015,Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; ,0,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,312 Gifford  STREET,Syracuse,13204    ,330100,SYRACUSE,James Geddes Apartments,01/31/2017,,Syracuse Housing Authority,Corriders,Craig,540815,Inspection,,NY,"(43.04346, -76.158999)"
LOCKPORT AN-JO YOUTH BASEBALL       ,"102 DAVISON  ROAD,  LOCKPORT",06/15/2015,No violations found.,0,0,0,Food Service Establishment - Frozen Desserts,Niagara County,NIAGARA,102 DAVISON  ROAD,LOCKPORT,14094    ,315300,LOCKPORT,Lockport An-Jo Youth Baseball,06/30/2016,,Lockport An-Jo Youth Baseball,Fragale,Todd,708553,Inspection,,NY,"(43.176414, -78.664182)"
CEDAR VIEW GOLF COURSE              ,"125 CEDAR VIEW ROAD,  LANSING",06/18/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Tompkins County,TOMPKINS,125 CEDAR VIEW ROAD,LANSING,14882    ,545600,LANSING,CEDAR VIEW GOLF COURSE,09/30/2016,CEDAR VIEW GOLF COURSE,CEDAR VIEW GOLF COURSE INC,LARSEN,MARTINA,313214,Inspection,,NY,"(42.62524, -76.61466)"
SMITH ELEMENTARY SCHOOL             ,"3414 STANTON STREET,  PAINTED POST",06/09/2015,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Hornell District Office,STEUBEN,3414 STANTON STREET,PAINTED POST,14870    ,502600,ERWIN,SMITH ELEMENTARY SCHOOL,04/15/2017,,CORNING CITY SCHOOL DISTRICT,KILMER,JOSEPH,343116,Inspection,Not serving food at time of inspection (half day),NY,"(42.162105, -77.082826)"
HORNELL CHILDREN'S HOME (n/a)       ,"233 MAIN STREET,  HORNELL",06/19/2015,No violations found.,0,0,0,Institutional Food Service - Day Care Center Food Service,Hornell District Office,STEUBEN,233 MAIN STREET,HORNELL,14843    ,500200,HORNELL,HORNELL CHILDREN'S HOME (n/a),,,HORNELL CHILDREN'S HOME,SWARTZ,BOBBI,343037,Inspection,,NY,"(42.325508, -77.656083)"
BROOKVIEW SCHOOL                    ,"300 BROOKVIEW DRIVE,  ROCHESTER",06/18/2015,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Monroe County,MONROE,300 BROOKVIEW DRIVE,ROCHESTER,14617    ,270104,ROCHESTER,BROOKVIEW SCHOOL,12/31/2016,,,,,798308,Inspection,,NY,"(43.204175, -77.593923)"
BARTLETT COUNTRY CLUB               ,"32 EUCLID AVENUE,  OLEAN",04/07/2015,"Item  5A-  Critical Violation [RED] Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.; Item  5B-  Critical Violation [RED] Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; ",2,0,2,Food Service Establishment - Restaurant/Catering Operation,Cattaraugus County,CATTARAUGUS,32 EUCLID AVENUE,OLEAN,14760    ,040100,OLEAN,BARTLETT COUNTRY CLUB,07/31/2016,,"BARTLETT COUNTRY CLUB, INC.",FORNESS,NANCY,259441,Inspection,,NY,"(42.094305, -78.424032)"
ADDIE'S CUSTARD                     ,"12231C ROUTE 16,  YORKSHIRE",06/17/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",0,0,3,Food Service Establishment - Restaurant,Cattaraugus County,CATTARAUGUS,12231C ROUTE 16  ,YORKSHIRE,14173    ,048200,YORKSHIRE,ADDIE'S CUSTARD,09/03/2016,,,TITUS-CASTALDO,JEANETTE,258918,Inspection,,NY,"(42.530151, -78.478645)"
HIDEAWAY LOUNGE                     ,"12 DIVISION STREET,  SIDNEY",06/18/2015,No violations found.,0,0,0,Food Service Establishment - Tavern,Oneonta District Office,DELAWARE,12 DIVISION STREET,SIDNEY,13838    ,126500,SIDNEY,HIDEAWAY LOUNGE,05/31/2017,,,Finley,Sandra,353851,Inspection,,NY,"(42.31452, -75.392355)"
ST. MARY OF THE ANGELS CHURCH       ,"202 SOUTH UNION STREET,  OLEAN",06/12/2015,"Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",0,0,1,Food Service Establishment - Food Service Establishment,Cattaraugus County,CATTARAUGUS,202 SOUTH UNION STREET,OLEAN,14760    ,040100,OLEAN,ST. MARY OF THE ANGELS CHURCH,11/30/2016,,ROMAN CATHOLIC DIOCESE OF BUFFALO,DOBSON,REV. GREGORY,718076,Inspection,,NY,"(42.075299, -78.429904)"
TEXAS BBQ JOINT                     ,"122 S. UNION STREET,  SPENCERPORT",07/08/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); ",0,0,1,Food Service Establishment - Restaurant,Monroe County,MONROE,122 S. UNION STREET,SPENCERPORT,14559    ,272200,OGDEN,"TASTE OF TEXAS BAR-B-Q, INC.",12/31/2016,,,,,668769,Inspection,,NY,"(43.192397, -77.800528)"
DUNKIN DONUTS                       ,"601 JERICHO TURNPIKE,  NEW HYDE PARK",07/09/2015,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); ",0,0,2,Food Service Establishment - Food Service Establishment,Nassau  County,NASSAU,601 JERICHO TURNPIKE,NEW HYDE PARK,11040    ,291200,HEMPSTEAD,DUNKIN DONUTS,02/28/2017,DUNKIN DONUTS,601 JERICHO DONUTS INC,,,570217,Inspection,,NY,"(40.732063, -73.68805)"
APW ELEMENTARY SCHOOL               ,"640 COUNTY ROUTE 22,  PARISH",07/13/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); ",0,0,1,SED Summer Feeding Prog. - SED Self Preparation Feeding Site,Oswego County,OSWEGO, 640 COUNTY ROUTE 22  ,PARISH,13131    ,376200,PARISH,APW ELEMENTARY - SED,08/14/2015,ALTMAR ELEMENTARY SCHOOL,APW CENTRAL SCHOOL DISTRICT,HORNING,BONNIE,423160,Inspection,Discussed cooling of leftover hot foods.,NY,"(43.444072, -76.051592)"
City of Batavia Y B Community Center,"12 McArthur DRIVE,  Batavia",07/14/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Genesee County,GENESEE,12 McArthur DRIVE,Batavia,14020    ,180100,BATAVIA,SED Lambert Park,,,,,,771103,Inspection,"Grilled chicken on roll reads 30F at time of inspection. Individual milk cartons reading 31F at time of inspection. Number of meals served: 16. Number of children not served: 0. Number of extra lunches: 5. 
Site LEA Code: 800000061340. Sponsor LEA Code: 400800640004
(1.5)",NY,"(43.011175, -78.179895)"
LILY LAKE YOUTH CAMP                ,"837 NY ROUTE 369,  PORT CRANE",07/14/2015,No violations found.,0,0,0,Institutional Food Service - Children's Camp Food Service,Broome County,BROOME,837 NY ROUTE 369  ,PORT CRANE,13833    ,035600,FENTON,LILY LAKE YOUTH CAMP FOOD SERVICE,07/18/2015,,,,,255679,Inspection,,NY,"(42.213043, -75.818718)"
BURGER GRILL/FRESCA WRAP            ,"93 W. CAMPBELL ROAD,  ROTTERDAM",07/13/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Schenectady County,SCHENECTADY,93 W. CAMPBELL ROAD,ROTTERDAM,12306    ,465400,ROTTERDAM,BURGER GRILL/FRESCA WRAP,06/30/2016,,SAID IAM INC,SABBAH,SAID,744410,Inspection,,NY,"(42.810308, -73.989769)"
CORNING - PAINTED POST HIGH SCHOOL  ,"201 CANTIGNY STREET,  CORNING",07/14/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Hornell District Office,STEUBEN,201 CANTIGNY STREET,CORNING,14830    ,500100,CORNING,GREGG ELEMENTARY SCHOOL SUMMER FEEDING,,,,,,736087,Inspection,Prepares food for anywhere between 80-120 kids/day from surrounding area.,NY,"(42.146793, -77.048832)"
WILTWYCK GOLF CLUB POOL CONCESSION  ,"404 STEWARD LANE,  KINGSTON",07/14/2015,"Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,5,Food Service Establishment - Food Service Establishment,Ulster County,ULSTER,404 STEWARD LANE,KINGSTON,12401    ,556700,ULSTER,WILTWYCK GOLF CLUB POOL CONCESSION,09/15/2016,,"WILTWYCK GOLF CLUB, INC.",PRITCHARD,PAUL,316202,Inspection,,NY,"(41.916896, -74.041226)"
STARPOINT CSD CONCESSION STAND      ,"4363 MAPLETON  ROAD,  LOCKPORT",06/17/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Niagara County,NIAGARA,4363 MAPLETON  ROAD,LOCKPORT,14094    ,315600,PENDLETON,STARPOINT CSD CONCESSION STAND,06/30/2016,,STARPOINT CENTRAL SCHOOL,"CIURCZAK, DIR. OF FAC. & OPER.",DAVID,582000,Inspection,,NY,"(43.123003, -78.807696)"
BROADWAY ACADEMY & ELEMENTARY       ,"1000 BROADWAY,  ELMIRA",07/13/2015,No violations found.,0,0,0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Chemung County,CHEMUNG,1000 BROADWAY  ,ELMIRA,14904    ,075800,SOUTHPORT,BROADWAY SCHL Summer Feeding,,,ELMIRA CITY  SCHOOL DISTRICT,CROUSE,KARI,521573,Inspection,Temperature of milk was 36dF per facilities probe thermometer and sanitarians thermocouple.  Observed temperature logs.  Observed adequate level of chlorine in sanitizer bucket.  Facility is using brown rolled paper towels because they have not received wiping cloths.  Discussed needing a new paper towel each time.  Discussed hand washing and glove use when serving and aiding children with RTE food items.,NY,"(42.061372, -76.817553)"
