Establishment ID,Name,Address 1,Address 2,City,Zip,Inspection Date,Inspection Results,Food from Approved Source (C),Food Protected from Contamination (C),Ill Workers Restricted (C),Proper Hand Washing (C),Cooling Time and Temperature (C),Cold Holding Temperature (C),Hot Holding Temperature (C),Cooking Time and Temperature (C),Reheating Time and Temperature (C),Hot and Cold Running Water Provided (C),Proper Sewage Disposal (C),Toxic Substances & Pesticides,Rodent and Insects,Nutritional Labeling,Trans Fat Ban,No-Smoking Sign Posted,Inspection Type,Owner,Category,Type,Latitude,Longitude,Location
20943,CHARLEY'S GRILLED SUBS,701 RUSSELL AVE. FC-104,,GAITHERSBURG,20877,03/11/2016,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,JKL LAKEFOREST LLC,Restaurant,Food,39.152,-77.2024,"(39.152, -77.2024)"
11548,MEM SAHIB,4840 BOILING BROOK PKWY.,,ROCKVILLE,20852,07/10/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,SUDARSHAN TULI,Restaurant,Food,39.0461,-77.0992,"(39.0461, -77.0992)"
17109,HIRO SUSHI,"5268 NICHOLSON LN,",,KENSINGTON,20895,12/21/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"HIRO SUSHI, INC.",Restaurant,Food,39.0444,-77.1067,"(39.0444, -77.1067)"
21358,PIZZA LEO & ASTEROIDS,4836 BOILING BROOKE PARKWAY,,ROCKVILLE,20852,02/17/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Reinspection,"LOFTI & IS8AM, INC.",Market,Food,39.046,-77.099,"(39.046, -77.099)"
21358,PIZZA LEO & ASTEROIDS,4836 BOILING BROOKE PARKWAY,,ROCKVILLE,20852,08/31/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"LOFTI & IS8AM, INC.",Market,Food,39.046,-77.099,"(39.046, -77.099)"
906,FAR EAST RESTAURANT,5055 NICHOLSON LN.,,ROCKVILLE,20852,10/22/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,S&S SUEN CO,,Food,39.0463,-77.1041,"(39.0463, -77.1041)"
11598,SHOPPERS FOOD WAREHOUSE,5110 NICHOLSON LN.,,KENSINGTON,20895,06/26/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,SHOPPERS FOOD WAREHOUSE CORP.,,Food,39.0445,-77.1047,"(39.0445, -77.1047)"
2165,ROYAL DRAGON,4832 BOILING BROOK PKWY.,,ROCKVILLE,20852,05/28/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"ROYAL DRAGON, INC.",Restaurant,Food,39.046,-77.0989,"(39.046, -77.0989)"
20881,ADVANCE AUTO PARTS #8979,5144 NICHOLSON LANE,,KENSINGTON,20895,03/04/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,ADVANCE STORES CO. INC.,Market,Food,39.0439,-77.1046,"(39.0439, -77.1046)"
20612,SUBWAY,5210 NICHOLSON LANE,,KENSINGTON,20895,02/03/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,HARI CORPORATION,,Food,39.0433,-77.1056,"(39.0433, -77.1056)"
906,FAR EAST RESTAURANT,5055 NICHOLSON LN.,,ROCKVILLE,20852,06/09/2014,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,S&S SUEN CO,,Food,39.0463,-77.1041,"(39.0463, -77.1041)"
17355,CHINA GARDEN HOUSE,178 ROLLINS AVE.,,ROCKVILLE,20852,03/09/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,YOU CHEN,Restaurant,Food,39.0583,-77.1259,"(39.0583, -77.1259)"
20143,PHO HOA BINH,11782 PARKLAWN DR,,ROCKVILLE,20852,10/09/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"SLK, INC.",Restaurant,Food,39.0482,-77.1024,"(39.0482, -77.1024)"
18905,POLLO CAMPERO,701 RUSSELL AVE.,,GAITHERSBURG,20886,03/11/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,AMERICAN POLLO GAITHERSBURG LLC,Restaurant,Food,39.152,-77.2024,"(39.152, -77.2024)"
22676,DOMINO'S PIZZA #4638,5268 E. NICHOLSON LN.,,KENSINGTON,20895,11/06/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"TEAM WASHINGTON, INC.",Restaurant,Food,39.0444,-77.1067,"(39.0444, -77.1067)"
20612,SUBWAY,5210 NICHOLSON LANE,,KENSINGTON,20895,11/06/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,HARI CORPORATION,,Food,39.0433,-77.1056,"(39.0433, -77.1056)"
21358,PIZZA LEO & ASTEROIDS,4836 BOILING BROOKE PARKWAY,,ROCKVILLE,20852,08/26/2014,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"LOFTI & IS8AM, INC.",Market,Food,39.046,-77.099,"(39.046, -77.099)"
325,BOSTON MARKET #1031,5290 RANDOLPH RD.,,ROCKVILLE,20852,02/05/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,BOSTON MARKET CORPORATION,Restaurant,Food,39.0532,-77.1045,"(39.0532, -77.1045)"
23108,VIGNOLA'S CATERING,11612 BOILING BROOK PKWY,,ROCKVILLE,20852,01/28/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"VIGNOLA GOURMET, LLC.",Restaurant,Food,39.047,-77.0996,"(39.047, -77.0996)"
514,CHICKEN BASKET,5058-B NICHOLSON LN.,,ROCKVILLE,20852,02/08/2016,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"WONDER FRY, INC",Restaurant,Food,39.0457,-77.1039,"(39.0457, -77.1039)"
20363,CHINA JADE RESTAURANT,16805 CRABBS BRANCH WAY,,ROCKVILLE,20855,03/11/2016,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,JIN SHENG INC.,Restaurant,Food,39.129,-77.1676,"(39.129, -77.1676)"
1511,SELECTOS  LATINOS,11790 PARKLAWN DR.,,ROCKVILLE,20852,03/27/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"EVERLU FOOD SERVICES, LLC",,Food,39.0483,-77.1025,"(39.0483, -77.1025)"
18858,CAF� 2020,4870 BOILING BROOK PKWY.,,ROCKVILLE,20852,10/28/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,,"JON & KIM, INC (ELIZABETH JON)",,Food,39.046,-77.0996,"(39.046, -77.0996)"
2165,ROYAL DRAGON,4832 BOILING BROOK PKWY.,,ROCKVILLE,20852,10/21/2014,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"ROYAL DRAGON, INC.",Restaurant,Food,39.046,-77.0989,"(39.046, -77.0989)"
22745,EL PATIO,5240 RANDOLPH RD.,,ROCKVILLE,20852,11/02/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"EL PATIO INTERNATIONAL, INC.",Restaurant,Food,39.0523,-77.1051,"(39.0523, -77.1051)"
11460,MCDONALD'S OF WOODFIELD/BP,19230 WOODFIELD RD.,,GAITHERSBURG,20879,03/11/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Pre-Opening - Environmental,BRYAN CLEGHORN,Restaurant,Food,39.172,-77.1533,"(39.172, -77.1533)"
20877,ADVANCE AUTO PARTS #9012,13006 MIDDLEBROOK RD.,,GERMANTOWN,20874,03/13/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,ADVANCE STORES CO. INC.,Market,Food,39.1802,-77.2712,"(39.1802, -77.2712)"
28813,LA MIGUELENA,10121 NEW HAMPSHIRE AVE,,SILVER SPRING,20902,03/10/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,REINA I RAMIREZ,Restaurant,Food,39.0216,-76.9747,"(39.0216, -76.9747)"
11548,MEM SAHIB,4840 BOILING BROOK PKWY.,,ROCKVILLE,20852,08/18/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,SUDARSHAN TULI,Restaurant,Food,39.0461,-77.0992,"(39.0461, -77.0992)"
18050,MOTI'S MARKET,4860 BOILING BROOK PKWY.,,ROCKVILLE,20852,10/24/2014,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,ADADTRACY YITZHAKY,Market,Food,39.0461,-77.0995,"(39.0461, -77.0995)"
21368,DOLLAR TREE #4512,5260 RANDOLPH RD.,,ROCKVILLE,20852,11/04/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"DOLLAR TREE STORES, INC.",Market,Food,39.0524,-77.1056,"(39.0524, -77.1056)"
906,FAR EAST RESTAURANT,5055 NICHOLSON LN.,,ROCKVILLE,20852,02/03/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,S&S SUEN CO,,Food,39.0463,-77.1041,"(39.0463, -77.1041)"
22540,EL POLLO REAL,5058-C NICHOLSON LANE,,ROCKVILLE,20852,12/30/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"TRUJILLO-LIMA FOODS, LLC.",Restaurant,Food,39.0457,-77.1039,"(39.0457, -77.1039)"
20532,MANDARIN WOK,5268 NICHOLSON LANE,,KENSINGTON,20895,10/05/2015,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Food Complaint,JIMMY  CHEN,Restaurant,Food,39.0444,-77.1067,"(39.0444, -77.1067)"
18849,PRALINE BAKERY,4611-O SANGAMORE RD.,,BETHESDA,20816,03/11/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"PRALINE BAKERY, LLC",Restaurant,Food,38.95,-77.1194,"(38.95, -77.1194)"
18050,MOTI'S MARKET,4860 BOILING BROOK PKWY.,,ROCKVILLE,20852,01/21/2016,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,ADADTRACY YITZHAKY,Market,Food,39.0461,-77.0995,"(39.0461, -77.0995)"
19027,HOLIDAY INN - GAITHERSBURG,2 MONTGOMERY VILLAGE AVE,,GAITHERSBURG,20879,03/11/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Reinspection,"MONTGOMERY VILLAGE HOSPITALITY MEMBER, LLC.",Restaurant,Food,39.1537,-77.2108,"(39.1537, -77.2108)"
18039,AMINA THAI,5065 NICHOLSON LANE,,ROCKVILLE,20852,08/05/2014,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,AMINA THAI CORP.,Restaurant,Food,39.0461,-77.1046,"(39.0461, -77.1046)"
22745,EL PATIO,5240 RANDOLPH RD.,,ROCKVILLE,20852,03/10/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"EL PATIO INTERNATIONAL, INC.",Restaurant,Food,39.0523,-77.1051,"(39.0523, -77.1051)"
2123,RODMAN'S GOURMET,5148 NICHOLSON LN.,,KENSINGTON,20895,12/03/2014,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"W.F.F. & B, INC.",,Food,39.0437,-77.1046,"(39.0437, -77.1046)"
943,FOOD STOP MINI MART,4820 BOILING BROOK PKWY.,,ROCKVILLE,20852,01/28/2016,No Critical Violations Noted,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"BOILING BROOK FOODS, INC.",Market,Food,39.0461,-77.0985,"(39.0461, -77.0985)"
20143,PHO HOA BINH,11782 PARKLAWN DR,,ROCKVILLE,20852,05/29/2015,Critical Violations Corrected,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,"SLK, INC.",Restaurant,Food,39.0482,-77.1024,"(39.0482, -77.1024)"
