Establishment,Permit Holder,Telephone,Establishment Permit #,Establishment Address Street #,Establishment Address Street Name,Establishment Address Unit #,Establishment Address City,Establishment Address State,Establishment Address Zip Code,Mailing Address Street #,Mailing Address Street Name,Mailing Address Unit #,Mailing Address City,Mailing Address State,Mailing Address Zip Code,Mailing Care Of,PO BOX,Facility Permit #,Business Status,Facility Type,Risk Category,1st Inspection,TMKZone,TMKSection,TMKPlat,TMKParcel,Permit Expire Date
"JOE ON THE GO, LLC","JOE ON THE GO, LLC",(808)478-8224,15093,"ALAHAO PLACE
HONOLULU, HAWAII 96819
(21.328071448465092, -157.88744270497597)",ALAHAO PLACE ,206,HONOLULU,HAWAII,96819,"ALAHAO PLACE
HONOLULU, HAWAII 96819
(21.328071448465092, -157.88744270497597)",ALAHAO PLACE ,206,HONOLULU,HAWAII,96819,,,15093,Open,137 New and Renewal 3,Category 3,11/28/2011 12:00:00 AM,1,2,21,9,11/28/2013 12:00:00 AM
SUNRISE RESTAURANT,"CHOKATSU, INC.",(808)737-4118,4668,"KAPAHULU AVENUE
HONOLULU, HAWAII 96815
(21.273487832608467, -157.81652989273888)",KAPAHULU AVENUE ,   ,HONOLULU,HAWAII,96815,"KAPAHULU AVENUE
HONOLULU, HAWAII 96815
(21.273487832608467, -157.81652989273888)",KAPAHULU AVENUE ,   ,HONOLULU,HAWAII,96815,,,4668,Open,137 New and Renewal 1,Category 1,03/24/2011 12:00:00 AM,3,1,17,36,04/01/2013 12:00:00 AM
KURU KURU SUSHI,"GINSHARI, INC.",(808)284-4665,14683,"WAIALAE AVENUE
HONOLULU, HAWAII 96816
(21.27877563071388, -157.78931204861195)",WAIALAE AVENUE ,   ,HONOLULU,HAWAII,96816,"KAMEHAMEHA HIGHWAY
AIEA, HAWAII 96701
(21.3864238873908, -157.95247197888085)",KAMEHAMEHA HIGHWAY ,   ,AIEA,HAWAII,96701,,,14683,Open,137 New and Renewal 1,Category 1,06/08/2011 12:00:00 AM,3,5,16,1,06/08/2013 12:00:00 AM
TOP OF WAIKIKI,"TOP OF WAIKIKI, INC.",(808)923-1191,1841,"KALAKAUA AVENUE
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE ,1800,HONOLULU,HAWAII,96815,"KALAKAUA AVENUE
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE ,1800,HONOLULU,HAWAII,96815,,,1841,Open,137 New and Renewal 1,Category 1,09/12/2011 12:00:00 AM,2,6,22,3,09/26/2013 12:00:00 AM
J. W. MARRIOTT IHILANI RESORT & SPA POOLSIDE BAR & GRILL,"MARRIOTT HOTEL SERVICES, INC.",(808)679-0079,5151,"OLANI STREET
KAPOLEI, HAWAII 96707
(21.342537562591247, -158.12307743334605)",OLANI STREET ,   ,KAPOLEI,HAWAII,96707,"OLANI STREET
KAPOLEI, HAWAII 96707
(21.342537562591247, -158.12307743334605)",OLANI STREET ,   ,KAPOLEI,HAWAII,96707,,,5151,Open,137 New and Renewal 1,Category 1,09/26/2011 12:00:00 AM,9,1,57,1,10/08/2013 12:00:00 AM
WAIALUA SODA WORKS,"NORTH SHORE BEVERAGE CO., LTD.",(808)371-7556,13902,"GOODALE AVENUE
WAIALUA, HAWAII 96791
(21.573977992130875, -158.1230021600252)",GOODALE AVENUE ,   ,WAIALUA,HAWAII,96791,"WAIALUA, HAWAII 96791
(21.576399999960188, -158.13287999961216)",,   ,WAIALUA,HAWAII,96791,,657,13902,Open,137 New and Renewal 3,Category 3,08/04/2010 12:00:00 AM,6,7,5,83,01/23/2012 12:00:00 AM
LIN'S MARKET,"FUN WORLD, INC.",(808)593-8611,12324,"AUAHI STREET
HONOLULU, HAWAII 96814
(21.29339804226976, -157.8526704107278)",AUAHI STREET ,   ,HONOLULU,HAWAII,96814,"AUAHI STREET
HONOLULU, HAWAII 96814
(21.29339804226976, -157.8526704107278)",AUAHI STREET ,   ,HONOLULU,HAWAII,96814,,,12324,Open,137 New and Renewal 3,Category 3,07/09/2010 12:00:00 AM,2,3,2,1,"July 24"", ""2014"
HOLOMUA ELEMENTARY SCHOOL,DEPARTMENT OF EDUCATION,(808)685-2006,2784,"KEAUNUI DRIVE
EWA BEACH, HAWAII 96706
(21.32838642807543, -158.0212046309841)",KEAUNUI DRIVE ,   ,EWA BEACH,HAWAII,96706,"KEAUNUI DRIVE
EWA BEACH, HAWAII 96706
(21.32838642807543, -158.0212046309841)",KEAUNUI DRIVE ,   ,EWA BEACH,HAWAII,96706,,,2784,Open,137 New and Renewal 1,Category 1,01/25/2012 12:00:00 AM,9,1,10,22,01/13/2014 12:00:00 AM
ALA MOANA DELI & SUNDRIES,JUDY TUNG,(808)393-4751,12173,"KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96814
(21.29056124590784, -157.83580699752676)",KAPIOLANI BOULEVARD ,740,HONOLULU,HAWAII,96814,"KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96814
(21.29056124590784, -157.83580699752676)",KAPIOLANI BOULEVARD ,740,HONOLULU,HAWAII,96814, JUDY TUNG,,12173,Open,137 New and Renewal 3,Category 3,03/10/2010 12:00:00 AM,2,3,40,1,03/17/2012 12:00:00 AM
KANEOHE HIGASHI HONGWANJI,KANEOHE HIGASHI HONGWANJI MISSION,(808)247-2661,3414,"KEAAHALA ROAD
KANEOHE, HAWAII 96744
(21.413948228327826, -157.8023926875281)",KEAAHALA ROAD ,   ,KANEOHE,HAWAII,96744,"KEAAHALA ROAD
KANEOHE, HAWAII 96744
(21.413948228327826, -157.8023926875281)",KEAAHALA ROAD ,   ,KANEOHE,HAWAII,96744,,,3414,Open,137 New and Renewal 3,Category 3,02/22/2010 12:00:00 AM,4,5,20,19,03/03/2014 12:00:00 AM
JULIE'Z RESTAURANT FILIPINO HOMESTYLE CUISINE,"JULIE'Z RESTAURANT FILIPINO HOMESTYLE CUISINE, LLC.",(808)693-8778,7033,"FARRINGTON HIGHWAY
KAPOLEI, HAWAII 96707
(21.346551140538818, -158.12445892344093)",FARRINGTON HIGHWAY ,532,KAPOLEI,HAWAII,96707,"FARRINGTON HIGHWAY
KAPOLEI, HAWAII 96707
(21.346551140538818, -158.12445892344093)",FARRINGTON HIGHWAY,532,KAPOLEI,HAWAII,96707,,,7033,Open,137 New and Renewal 1,Category 1,12/14/2010 12:00:00 AM,9,1,106,10,12/19/2012 12:00:00 AM
HAWAII'S OWN COFFEE COMMISSARY,"SUMO SHAVE ICE, LLC",(808)222-5888,12616,"KAMEHAMEHA HIGHWAY
HONOLULU, HAWAII 96819
(21.332474149083396, -157.88727969387375)",KAMEHAMEHA HIGHWAY ,   ,HONOLULU,HAWAII,96819,"AKAAKA STREET
AIEA, HAWAII 96701
(21.39249147223063, -157.91674712491314)",AKAAKA STREET ,   ,AIEA,HAWAII,96701,JEFFREY T. NAMIHIRA,,12616,Open,137 New and Renewal 3,Category 3,01/13/2009 12:00:00 AM,1,2,13,7,01/13/2011 12:00:00 AM
BON BON,TONG YUK LIN,(808)383-6138,8438,"KALAKAUA AVENUE
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE ,LL101A,HONOLULU,HAWAII,96815,"KALAKAUA AVENUE
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE ,LL101A,HONOLULU,HAWAII,96815,,,8438,Open,137 New and Renewal 2,Category 2,02/01/2011 12:00:00 AM,2,6,19,18,01/31/2013 12:00:00 AM
KOA PANCAKE HOUSE - HAWAII KAI,"JMC KOA, INC.",(808)741-1572,14293,"KEAHOLE STREET
HONOLULU, HAWAII 96825
(21.283078886624082, -157.71526636932953)",KEAHOLE STREET ,   ,HONOLULU,HAWAII,96825,"FARRINGTON HIGHWAY
WAIPAHU, HAWAII 96797
(21.39596077521469, -157.98406389742595)",FARRINGTON HIGHWAY ,C1-2,WAIPAHU,HAWAII,96797,,,14293,Open,137 New and Renewal 1,Category 1,12/21/2010 12:00:00 AM,3,9,17,44,12/21/2012 12:00:00 AM
PHO MY VI VIETNAMESE RESTAURANT,"TQW GROUP, LLC.",(808)247-1628,7908,"KAMEHAMEHA HIGHWAY
KANEOHE, HAWAII 96744
(21.40322830973858, -157.7994698909329)",KAMEHAMEHA HIGHWAY ,   ,KANEOHE,HAWAII,96744,"KAMEHAMEHA HIGHWAY
KANEOHE, HAWAII 96744
(21.40322830973858, -157.7994698909329)",KAMEHAMEHA HIGHWAY ,   ,KANEOHE,HAWAII,96744,,,7908,Open,137 New and Renewal 1,Category 1,03/31/2010 12:00:00 AM,4,6,2,2,"April 14"", ""2014"
DEW DROP INN,SHENG HUI TSAI,(808)372-3393,978,"SOUTH BERETANIA STREET
HONOLULU, HAWAII 96814
(21.303895186905667, -157.8493966033946)",SOUTH BERETANIA STREET,   ,HONOLULU,HAWAII,96814,"SOUTH BERETANIA STREET
HONOLULU, HAWAII 96814
(21.303895186905667, -157.8493966033946)",SOUTH BERETANIA STREET,   ,HONOLULU,HAWAII,96814,,,978,Open,137 New and Renewal 1,Category 1,06/15/2011 12:00:00 AM,2,4,13,2,05/19/2013 12:00:00 AM
PRINCE KUHIO PHARMACY,"OUTRIGGER SHOPS, LTD.",(808)923-2057,11829,"KUHIO AVENUE
HONOLULU, HAWAII 96815
(21.278845579283345, -157.82537959046584)",KUHIO AVENUE ,   ,HONOLULU,HAWAII,96815,"KUHIO AVENUE
HONOLULU, HAWAII 96815
(21.278845579283345, -157.82537959046584)",KUHIO AVENUE,MEZZANINE FLOOR   ,HONOLULU,HAWAII,96815,AUDREY,,11829,Open,137 New and Renewal 3,Category 3,09/19/2011 12:00:00 AM,2,6,21,99,10/11/2013 12:00:00 AM
STEVENSON MIDDLE SCHOOL,DEPARTMENT OF EDUCATION,(808)587-4532,305,"PROSPECT STREET
HONOLULU, HAWAII 96822
(21.309384091640826, -157.84076307026845)",PROSPECT STREET ,   ,HONOLULU,HAWAII,96822,"PROSPECT STREET
HONOLULU, HAWAII 96822
(21.309384091640826, -157.84076307026845)",PROSPECT STREET ,   ,HONOLULU,HAWAII,96822,,,305,Open,137 New and Renewal 1,Category 1,02/11/2011 12:00:00 AM,2,4,33,13,02/11/2013 12:00:00 AM
KALIHI SUPER MEATS,"SHUICHI ASAO, INC.",(808)533-2272,13056,"NORTH KING STREET
HONOLULU, HAWAII 96819
(21.336664771248305, -157.88300779490478)",NORTH KING STREET,4,HONOLULU,HAWAII,96819,"NORTH KING STREET
HONOLULU, HAWAII 96819
(21.336664771248305, -157.88300779490478)",NORTH KING STREET,4,HONOLULU,HAWAII,96819,,,13056,Open,137 New and Renewal 2,Category 2,07/25/2011 12:00:00 AM,1,3,3,26,07/16/2013 12:00:00 AM
PRIMA TRATORIA,"VJ RESTAURANT GROUP, LLC",(808)561-4411,14932,"HEKILI STREET
KAILUA, HAWAII 96734
(21.392065706450488, -157.74400338137391)",HEKILI STREET ,107,KAILUA,HAWAII,96734,"SPENCER STREET
HONOLULU, HAWAII 96822
(21.307426751352516, -157.84795008831657)",SPENCER STREET ,   ,HONOLULU,HAWAII,96822, VJ RESTAURANT GROUP,,14932,Open,137 New and Renewal 1,Category 1,09/16/2011 12:00:00 AM,4,2,38,23,09/16/2013 12:00:00 AM
ISLAND FRUITS,NOFOALII L. AIAGA,(808)384-8740,13561,"PLANTATION ROAD
WAIANAE, HAWAII 96792
(21.44582469765635, -158.18800398725136)",PLANTATION ROAD ,   ,WAIANAE,HAWAII,96792,"KEKUILANI LOOP
KAPOLEI, HAWAII 96707
(21.336287274487603, -158.06297574212795)",KEKUILANI LOOP ,F,KAPOLEI,HAWAII,96707,,,13561,Open,137 New and Renewal 3,Category 3,02/09/2012 12:00:00 AM,8,5,1,59,02/24/2014 12:00:00 AM
COSTCO WHOLESALE #1038,COSTCO WHOLESALE CORP.,(425)313-8100,12701,"KAPOLEI PARKWAY
KAPOLEI, HAWAII 96707
(21.329229995741102, -158.07253191013845)",KAPOLEI PARKWAY ,   ,KAPOLEI,HAWAII,96707,"SEATTLE, WASHINGTON 98124
(47.551910000346425, -122.3263100002062)",,   ,SEATTLE,WASHINGTON,98124, LICENSING,35005,12701,Open,137 New and Renewal 1,Category 1,02/11/2011 12:00:00 AM,9,1,16,1,02/17/2013 12:00:00 AM
BOB'S SPORTS BAR,ROWELL CRIVELLO,(808)263-7669,5555,"HAMAKUA DRIVE
KAILUA, HAWAII 96734
(21.39331778097568, -157.7450384251095)",HAMAKUA DRIVE ,   ,KAILUA,HAWAII,96734,"HAMAKUA DRIVE
KAILUA, HAWAII 96734
(21.39331778097568, -157.7450384251095)",HAMAKUA DRIVE ,   ,KAILUA,HAWAII,96734,,,5555,Open,137 New and Renewal 1,Category 1,09/13/2010 12:00:00 AM,4,2,38,47,07/27/2012 12:00:00 AM
TATSUO'S,LAURIE Y. MORITA,(808)255-5529,9266,"ALAHAO PLACE
HONOLULU, HAWAII 96819
(21.328071448465092, -157.88744270497597)",ALAHAO PLACE ,200,HONOLULU,HAWAII,96819,"ALAHAO PLACE
HONOLULU, HAWAII 96819
(21.328071448465092, -157.88744270497597)",ALAHAO PLACE ,200,HONOLULU,HAWAII,96819,,,9266,Open,137 New and Renewal 1,Category 1,03/03/2010 12:00:00 AM,1,2,21,9,"March 30"", ""2014"
RAINBOW COMBINATION MARKET,"RAINBOW COMBINATION MARKET, LLC",(808)739-0133,13921,"PALOLO AVENUE
HONOLULU, HAWAII 96816
(21.291586473021255, -157.80146638583793)",PALOLO AVENUE ,   ,HONOLULU,HAWAII,96816,"PALOLO AVENUE
HONOLULU, HAWAII 96816
(21.291586473021255, -157.80146638583793)",PALOLO AVENUE ,   ,HONOLULU,HAWAII,96816," RAINBOW COMBINATION MARKET, LLC",,13921,Open,137 New and Renewal 2,Category 2,08/11/2010 12:00:00 AM,3,3,47,102,08/11/2012 12:00:00 AM
NIMITZ MART,GABI CORP.,(808)253-1228,12032,"NORTH NIMITZ HIGHWAY
HONOLULU, HAWAII 96819
(21.337267535499564, -157.91434479034552)",NORTH NIMITZ HIGHWAY,   ,HONOLULU,HAWAII,96819,"NORTH NIMITZ HIGHWAY
HONOLULU, HAWAII 96819
(21.337267535499564, -157.91434479034552)",NORTH NIMITZ HIGHWAY,   ,HONOLULU,HAWAII,96819,,,12032,Open,137 New and Renewal 2,Category 2,11/28/2011 12:00:00 AM,1,1,14,87,12/04/2013 12:00:00 AM
"CLAY CAFE, LLC","CLAY CAFE, LLC",(808)589-1808,15246,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,BLDG. A  ,HONOLULU,HAWAII,96814,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,BLDG. A  ,HONOLULU,HAWAII,96814,,,15246,Open,137 New and Renewal 3,Category 3,02/01/2012 12:00:00 AM,2,3,1,5,02/01/2014 12:00:00 AM
LONGS DRUG STORES #9864,"LONGS DRUG STORES CALIFORNIA, INC.",(401)765-1500,11088,"MEHEULA PARKWAY
MILILANI, HAWAII 96789
(21.465218577218224, -158.00423652378421)",MEHEULA PARKWAY ,A,MILILANI,HAWAII,96789,"CVS DRIVE
WOONSOCKET, RHODE ISLAND 02895
(41.99328374986648, -71.47787104268498)",CVS DRIVE,MAIL DROP 23062A   ,WOONSOCKET,RHODE ISLAND,2895," DIANNE LACKEY, LICENSING COORDINATOR",,11088,Open,137 New and Renewal 3,Category 3,10/22/2010 12:00:00 AM,9,4,5,51,10/29/2012 12:00:00 AM
ISLAND COLONY ALOHA MART,"BRYAN ENTERPRISES, INC.",(808)926-5159,13181,"SEASIDE AVENUE
HONOLULU, HAWAII 96815
(21.280506825620307, -157.8264765314728)",SEASIDE AVENUE ,601,HONOLULU,HAWAII,96815,"SEASIDE AVENUE
HONOLULU, HAWAII 96815
(21.280506825620307, -157.8264765314728)",SEASIDE AVENUE ,601,HONOLULU,HAWAII,96815,,,13181,Open,137 New and Renewal 3,Category 3,08/23/2011 12:00:00 AM,2,6,21,26,09/14/2013 12:00:00 AM
"BLESSED MARIANNE COPE PRESCHOOL 901, 902",SAINT FRANCIS SCHOOL,(808)988-4111,10368,"PAMOA ROAD
HONOLULU, HAWAII 96822
(21.305139256002803, -157.81422326882358)",PAMOA ROAD ,   ,HONOLULU,HAWAII,96822,"PAMOA ROAD
HONOLULU, HAWAII 96822
(21.305139256002803, -157.81422326882358)",PAMOA ROAD ,   ,HONOLULU,HAWAII,96822,,,10368,Open,137 New and Renewal 3,Category 3,05/04/2010 12:00:00 AM,2,9,4,1,"May 17"", ""2014"
SWEET LADY LOUNGE,THU TAM T. YOUNG,(808)955-1329,4895,"KEEAUMOKU STREET
HONOLULU, HAWAII 96814
(21.30222994923804, -157.83839704497115)",KEEAUMOKU STREET ,   ,HONOLULU,HAWAII,96814,"KEEAUMOKU STREET
HONOLULU, HAWAII 96814
(21.30222994923804, -157.83839704497115)",KEEAUMOKU STREET ,   ,HONOLULU,HAWAII,96814,,,4895,Open,137 New and Renewal 3,Category 3,07/25/2011 12:00:00 AM,2,4,10,8,07/19/2013 12:00:00 AM
S.K.Y. USA,"S.K.Y. USA, INC.",(808)722-7745,13573,"UMI STREET
HONOLULU, HAWAII 96819
(21.333609051500428, -157.88304952735677)",UMI STREET ,   ,HONOLULU,HAWAII,96819,"KAAHUMANU STREET
PEARL CITY, HAWAII 96782
(21.412558775792547, -157.93977761733413)",KAAHUMANU STREET ,   ,PEARL CITY,HAWAII,96782,  LISA KWAK,,13573,Open,137 New and Renewal 3,Category 3,02/26/2010 12:00:00 AM,1,2,14,57,02/26/2012 12:00:00 AM
DAIRY QUEEN/ORANGE JULIUS,"HDQ, INC.",(808)561-9066,4595,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96814,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,   ,HONOLULU,HAWAII,96814,,,4595,Open,137 New and Renewal 3,Category 3,05/11/2011 12:00:00 AM,2,3,1,5,05/21/2013 12:00:00 AM
HAAGEN DAZ SHOPS HAWAII - ALA MOANA,"NICE CREAM, LLC",,13039,"ALA MOANA BOULEVARD
HONOLULU, HAWAII 96814
(21.28823767336588, -157.84028676965752)",ALA MOANA BOULEVARD,1160T   ,HONOLULU,HAWAII,96814,"WAIALAE AVENUE
HONOLULU, HAWAII 96826
(21.290111584893197, -157.81841860609023)",WAIALAE AVENUE ,   ,HONOLULU,HAWAII,96826, CLAYTON KIM,,13039,Open,137 New and Renewal 3,Category 3,06/02/2011 12:00:00 AM,2,3,38,1,06/05/2013 12:00:00 AM
WAIKIKI RESORT HOTEL,"JUNGSEOK ENTERPRISES CO., LTD.",(808)921-8612,1307,"KOA AVENUE
HONOLULU, HAWAII 96815
(21.275803264566793, -157.82430674068806)",KOA AVENUE ,   ,HONOLULU,HAWAII,96815,"KOA AVENUE
HONOLULU, HAWAII 96815
(21.275803264566793, -157.82430674068806)",KOA AVENUE ,   ,HONOLULU,HAWAII,96815,,,1307,Open,137 New and Renewal 1,Category 1,06/13/2011 12:00:00 AM,2,6,23,16,06/25/2013 12:00:00 AM
FORMAGGIO,"LAUGHING GRAVY RESTAURANTS, INC.",(808)479-4790,8342,"KAPIOLANI BOULEVARD
HONOLULU, HAWAII 96826
(21.28952215974417, -157.83227288054735)",KAPIOLANI BOULEVARD ,   ,HONOLULU,HAWAII,96826,"KAPIOLANI BOULEVARD BOX
HONOLULU, HAWAII 96826
(21.28952215974417, -157.83227288054735)",KAPIOLANI BOULEVARD BOX,10   ,HONOLULU,HAWAII,96826,,,8342,Open,137 New and Renewal 2,Category 2,12/13/2010 12:00:00 AM,2,7,30,3,12/08/2012 12:00:00 AM
"LITTLE SNACK SHOP, LLC, THE",GAYLE N. HIRAHARA,(808)393-7726,12156,"ALALOA STREET
KANEOHE, HAWAII 96744
(21.418112424541874, -157.80653773809848)",ALALOA STREET ,A-1,KANEOHE,HAWAII,96744,"ALALOA STREET
KANEOHE, HAWAII 96744
(21.418112424541874, -157.80653773809848)",ALALOA STREET ,A-1,KANEOHE,HAWAII,96744,,,12156,Open,137 New and Renewal 2,Category 2,"Mar 16"", ""2012",4,6,30,21,03/16/2014 12:00:00 AM
CREPE HOUSE,"CREPE HOUSE UNI HAWAII, INC.",(808)222-2411,14154,"KALAKAUA AVENUE 6
HONOLULU, HAWAII 96815
(21.289221256084204, -157.8349706280395)",KALAKAUA AVENUE 6,   ,HONOLULU,HAWAII,96815,"HONOLULU, HAWAII 96810
(21.30654000012106, -157.86044000040556)",,   ,HONOLULU,HAWAII,96810,,48,14154,Open,137 New and Renewal 3,Category 3,11/05/2010 12:00:00 AM,2,6,26,20,11/05/2012 12:00:00 AM
"KAOHU CUPCAKES, LLC","KAOHU CUPCAKES, LLC",(808)927-1394,14156,"UMI STREET
HONOLULU, HAWAII 96819
(21.333609051500428, -157.88304952735677)",UMI STREET ,   ,HONOLULU,HAWAII,96819,"IHO PLACE
AIEA, HAWAII 96701
(21.392731466877187, -157.92831303562986)",IHO PLACE ,BLDG. 4 #1501  ,AIEA,HAWAII,96701,  LISA DENIZ,,14156,Open,137 New and Renewal 3,Category 3,11/05/2010 12:00:00 AM,1,2,14,57,11/05/2012 12:00:00 AM
